competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,cleaned_name_used,created_at,eta_date
DVFlora,52145,Carnation Purple Zafiro,Carnations,Stem,Purple,,1,0.54,0.54,75,Colombia,Carnation Purple Zafiro,2025-06-01,2025-06-10
DVFlora,20712,Carnation Select Moon Shade,Carnations,Stem,Purple,,1,0.69,0.69,300,Colombia,Carnation Select Moon Shade,2025-06-01,2025-06-10
DVFlora,20713,Carnation Select Moon Vista,Carnations,Stem,Purple,,1,0.69,0.69,300,Colombia,Carnation Select Moon Vista,2025-06-01,2025-06-10
DVFlora,20713,Carnation Select Moon Vista,Carnations,Stem,Purple Dark,,1,0.69,0.69,300,Colombia,Carnation Select Moon Vista,2025-06-01,2025-06-10
DVFlora,20751,Carnation Pink,Carnations,Stem,Pink,,1,0.39,0.39,350,Colombia,Carnation Pink,2025-06-01,2025-06-10
DVFlora,50880,Carnation Pink Doncel,Carnations,Stem,Pink,,1,0.59,0.59,50,Colombia,Carnation Pink Doncel,2025-06-01,2025-06-10
DVFlora,48606,Carnation Pink Doncel,Carnations,Stem,Pink,75,1,0.49,0.49,75,Colombia,Carnation Pink Doncel,2025-06-01,2025-06-10
DVFlora,57635,Carnation Pink Lege,Carnations,Stem,Pink,,1,0.54,0.54,350,Colombia,Carnation Pink Lege,2025-06-01,2025-06-10
DVFlora,62807,Carnation Pink Mizuky,Carnations,Stem,Pink,,1,0.49,0.49,75,Colombia,Carnation Pink Mizuky,2025-06-01,2025-06-10
DVFlora,52191,Carnation Pink-DK Cervantes,Carnations,Stem,Pink,75,1,0.49,0.49,75,Colombia,Carnation Pink-DK Cervantes,2025-06-01,2025-06-10
DVFlora,56042,Carnation Pink-Hot,Carnations,Stem,Pink,,1,0.44,0.44,350,Colombia,Carnation Pink-Hot,2025-06-01,2025-06-10
DVFlora,62796,Carnation Pink-Hot Bizet,Carnations,Stem,Pink,,1,0.52,0.52,75,Colombia,Carnation Pink-Hot Bizet,2025-06-01,2025-06-10
DVFlora,50878,Carnation Lege Sport,Carnations,Stem,Peach,,1,0.59,0.59,50,Colombia,Carnation Lege Sport,2025-06-01,2025-06-10
DVFlora,20748,Carnation Peach,Carnations,Stem,Peach,,1,0.46,0.46,350,Colombia,Carnation Peach,2025-06-01,2025-06-10
DVFlora,65802,Carnation Peach Lege Marrn,Carnations,Stem,Peach,,1,0.52,0.52,75,Colombia,Carnation Peach Lege Marrn,2025-06-01,2025-06-10
DVFlora,50879,Carnation Peach Lizi,Carnations,Stem,Peach,,1,0.59,0.59,50,Colombia,Carnation Peach Lizi,2025-06-01,2025-06-10
DVFlora,60519,Carn Moon Select Assorted,Carnations,Stem,Blue,,1,0.79,0.79,80,Colombia,Carn Moon Select Assorted,2025-06-01,2025-06-10
DVFlora,50883,Carnation Blue Tinted,Carnations,Stem,Blue,,1,0.52,0.52,75,Colombia,Carnation Blue Tinted,2025-06-01,2025-06-10
DVFlora,68374,Carnation Yellow,Carnations,Stem,Yellow,,1,0.44,0.44,350,Colombia,Carnation Yellow,2025-06-01,2025-06-10
DVFlora,52190,Carnation Yellow Diletta,Carnations,Stem,Yellow,75,1,0.54,0.54,75,Colombia,Carnation Yellow Diletta,2025-06-01,2025-06-10
DVFlora,57635,Carnation Pink Lege,Carnations,Stem,Antique Pink,,1,0.54,0.54,350,Colombia,Carnation Pink Lege,2025-06-01,2025-06-10
DVFlora,20763,Carnation White,Carnations,Stem,White,,1,0.44,0.44,350,Colombia,Carnation White,2025-06-01,2025-06-10
DVFlora,28125,Carnation White Fancy,Carnations,Stem,White,,1,0.52,0.52,175,Colombia,Carnation White Fancy,2025-06-01,2025-06-10
DVFlora,20765,Carnation White Select,Carnations,Stem,White,,1,0.46,0.46,175,Colombia,Carnation White Select,2025-06-01,2025-06-10
DVFlora,68376,Carnation White Moon Light,Carnations,Stem,White,,1,0.54,0.54,75,Colombia,Carnation White Moon Light,2025-06-01,2025-06-10
DVFlora,52159,Carnation Lavender Boheme,Carnations,Stem,Lavender,,1,0.49,0.49,75,Colombia,Carnation Lavender Boheme,2025-06-01,2025-06-10
DVFlora,62801,Carnation Lavender Farida,Carnations,Stem,Lavender,,1,0.49,0.49,75,Colombia,Carnation Lavender Farida,2025-06-01,2025-06-10
DVFlora,62802,Carnation Lavender Prinz,Carnations,Stem,Lavender,,1,0.49,0.49,75,Colombia,Carnation Lavender Prinz,2025-06-01,2025-06-10
DVFlora,58013,Carnation Lavender,Carnations,Stem,Lavender,,1,0.44,0.44,350,Colombia,Carnation Lavender,2025-06-01,2025-06-10
DVFlora,20710,Carnation Select Moon Aqua,Carnations,Stem,Lavender,,1,0.69,0.69,300,Colombia,Carnation Select Moon Aqua,2025-06-01,2025-06-10
DVFlora,20711,Carnation Select Moon Lite,Carnations,Stem,Lavender,,1,0.69,0.69,300,Colombia,Carnation Select Moon Lite,2025-06-01,2025-06-10
DVFlora,20771,Carnation Burgundy,Carnations,Stem,Burgundy,,1,0.44,0.44,350,Colombia,Carnation Burgundy,2025-06-01,2025-06-10
DVFlora,65781,Carnation Caramel,Carnations,Stem,Antique Beige/Pk,,1,0.46,0.46,350,Colombia,Carnation Caramel,2025-06-01,2025-06-10
DVFlora,20734,Carnation Cream,Carnations,Stem,Cream,,1,0.42,0.42,350,Colombia,Carnation Cream,2025-06-01,2025-06-10
DVFlora,50855,Alstro Orange Ecuador,Alstroemeria,Bu,Orange,70,70,6.99,6.99,18,Ecuador,Alstro Orange Ecuador,2025-06-01,2025-06-10
DVFlora,54867,Alstro Orange Party S.S.,Alstroemeria,Bu,Orange,,1,7.79,7.79,4,Colombia,Alstro Orange Party S.S.,2025-06-01,2025-06-10
DVFlora,51850,Alstro Orange Queen Select.,Alstroemeria,Bu,Orange,,1,5.69,5.69,5,Colombia,Alstro Orange Queen Select.,2025-06-01,2025-06-10
DVFlora,68196,Alstro Orange Queen,Alstroemeria,Bu,Orange,,1,6.99,6.99,5,Colombia,Alstro Orange Queen,2025-06-01,2025-06-10
DVFlora,21337,Mini Carnation Cherry Tessino,Carnations-Mini,Bu,Bicolor,,1,4.09,4.09,30,Colombia,Mini Carnation Cherry Tessino,2025-06-01,2025-06-10
DVFlora,21349,Mini Carnation Peppermint,Carnations-Mini,Bu,Bicolor,,1,,,,Colombia,Mini Carnation Peppermint,2025-06-01,2025-06-10
DVFlora,37109,Carnation Green,Carnations,Stem,Green,,1,0.48,0.48,350,Colombia,Carnation Green,2025-06-01,2025-06-10
