competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,product_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Dvflora,53704,Rose Wht Playa Blnca 60c Cs100,Roses-Standard,Stem,White,60,1,1.89,1.89,100,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,White  Playa Blanca Roses,3276d79d-695d-4f45-87c4-d53166e34ef3,0.9450399875640869,blanca playa rose white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,67353,Rose Wht Playa Blnca 60cm,Roses-Standard,Stem,White,60,1,1.99,1.99,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,White  Playa Blanca Roses,3276d79d-695d-4f45-87c4-d53166e34ef3,0.9450399875640869,blanca playa rose white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,57045,Rose Wht Playa Blnca 60cm cs50,Roses-Standard,Stem,White,60,1,1.89,1.89,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,White  Playa Blanca Roses,3276d79d-695d-4f45-87c4-d53166e34ef3,0.9450399875640869,blanca playa rose white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,67354,Rose Wht Playa Blnca 70/80cm,Roses-Standard,Stem,White,70,70,2.09,2.09,25,South America,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,White  Playa Blanca Roses,3276d79d-695d-4f45-87c4-d53166e34ef3,0.9450399875640869,blanca playa rose white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,59111,Pom Pon Salmon Daisy 6pk,Pom Pons,Bu,Salmon,,1,4.09,4.09,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,daisy pom pon salmon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,23200,Pom Pon White Daisy Alma,Pom Pons,Bu,White,,1,4.59,4.59,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,alma daisy pom pon white,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,50751,Pom Pon White Daisy Alma 12pk,Pom Pons,Bu,White,,1,4.59,4.59,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,alma daisy pom pon white,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,54736,Pom Pon White Daisy Alma 6pk,Pom Pons,Bu,White,,1,3.99,3.99,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,alma daisy pom pon white,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,62814,Pom Pon White Daisy Alma 6pk,Pom Pons,Bu,White,,1,4.39,4.39,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,alma daisy pom pon white,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,67092,Pom Pon White Daisy Coco 12pk,Pom Pons,Bu,White,,1,4.19,4.19,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,coco daisy pom pon white,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,52166,Pom Pon White Top Dollar 6pk,Pom Pons,Bu,White,,1,5.19,5.19,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,dollar pom pon top white,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,21569,Pom Pon Purple Daisy 5pk,Pom Pons,Bu,Purple,,1,3.89,3.89,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,daisy pom pon purple,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
