competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Flowermarketplace,2144255,Areca Green,Areca,Stems,Green,90,50,3.89,0.0778,Areca Palm,d5ada531-20f1-4c17-ac53-dbbdd516a2fa,0.9035570025444031,,,,2025-05-07,2025-05-08
Flowermarketplace,2138217,Aspidistra Assorted MIX 20 BU/BX,Aspidistra,Bunch,Assorted,,1,7.78,7.78,Center Striped Aspidistra,962b6c37-47fe-4477-a0af-ae9a88309183,0.9785710573196411,Aspidistra,abc5eaea-ca26-4130-ba08-aea64145626f,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,326513,ASPIDISTRA GREEN,"Greens, Aspidistra",Bunch,Green,,1,4.52,4.52,Green Aspidistra,4bc3006d-c2c3-4f27-9725-9d5033c6568a,0.9952449798583984,Aspidistra,abc5eaea-ca26-4130-ba08-aea64145626f,0.9961176514625549,2025-05-07,2025-05-08
Flowermarketplace,2219812,Aspidistra Green 15 BU/BX,"aspidistra 15 bu/bx, Aspidistra",Bunch,Green,6070,1,4.33,4.33,Center Striped Aspidistra,962b6c37-47fe-4477-a0af-ae9a88309183,0.9840066432952881,Aspidistra,abc5eaea-ca26-4130-ba08-aea64145626f,0.9677181243896484,2025-05-07,2025-05-08
Flowermarketplace,2134960,Aspidistra Green 30 BU/BX,Aspidistra,Bunch,Green,6070,1,3.89,3.89,Center Striped Aspidistra,962b6c37-47fe-4477-a0af-ae9a88309183,0.9863860011100769,Aspidistra,abc5eaea-ca26-4130-ba08-aea64145626f,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,2134964,Aspidistra Variegated 15 BU/BX,Aspidistra,Bunch,Green,40,1,11.0,11.0,Variegated Aspidistra,36b75d67-defd-4b5e-a3df-218a67d52d21,0.9874071478843689,Aspidistra,abc5eaea-ca26-4130-ba08-aea64145626f,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,2220303,Aspidistra Variegated 30 BU/BX,Aspidistra,Bunch,Green,50,1,11.0,11.0,Variegated Aspidistra,36b75d67-defd-4b5e-a3df-218a67d52d21,0.9888355731964111,Aspidistra,abc5eaea-ca26-4130-ba08-aea64145626f,1.0000001192092896,2025-05-07,2025-05-08
Flowermarketplace,1860134,Aster Carnival White,Aster,Bunch,White,80,1,17.08,17.08,,,,Aster,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,1.0,2025-05-07,2025-05-08
Flowermarketplace,2131038,Aster Matsumoto Purple Select,Aster,Bunch,,,1,12.75,12.75,Matsumoto pink Aster,767c14cc-0bf0-48c1-92ff-ce47d2e98a52,0.9704727530479431,Aster,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,1.0,2025-05-07,2025-05-08
Flowermarketplace,1858891,Aster Purple Monarch Select,Aster,Bunch,Purple,,1,7.65,7.65,,,,Aster,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,1.0,2025-05-07,2025-05-08
Flowermarketplace,2131064,Aster Solidago Yellow Open Cut Select,Aster Solidago,Bunch,Yellow,,1,7.65,7.65,Solidago open cut Aster,593fbcb4-488a-4739-8297-0b17c815f554,0.9900131225585938,,,,2025-05-07,2025-05-08
Flowermarketplace,1890745,Aster Tinted Red Solidago Select,Aster,Bunch,Tinted,,1,9.43,9.43,Solidago Purple Butterfly Aster,e7e5e743-706b-4e90-9e81-606eca33f72e,0.9535149931907654,Aster,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,1.0,2025-05-07,2025-05-08
Flowermarketplace,2182514,Astilbe White,Astilbe,Stems,White,60,1,2.67,2.67,Pink Astilbe,c690a5fe-77a1-448d-b59d-d75269acc5a2,0.990543007850647,Astilbe,09cbb165-445b-4c82-9a3b-b033cbac9f12,1.0,2025-05-07,2025-05-08
Flowermarketplace,1859452,Astilbe White Washington,"Astilbe, astilbe spx",Stems,White,50,1,2.6,2.6,Washington Astilbe,580ab69f-dce0-42d5-8c7d-ec13b8dfd73c,0.9736688137054443,Astilbe,09cbb165-445b-4c82-9a3b-b033cbac9f12,0.8616963624954224,2025-05-07,2025-05-08
Flowermarketplace,2211830,Astrantia Assorted 10BU/BX,Astrantia,Bunch,Assorted,60,1,18.89,18.89,Assorted Astrantia,0ae9b10f-f156-4433-af78-21684f6ae2c3,0.9329341650009155,Astrantia,dec31f8d-05ae-40dd-8d32-369bd1f36169,1.0,2025-05-07,2025-05-08
Flowermarketplace,2270107,Astrantia Assorted 6BU/BX,Astrantia,Bunch,Assorted,60,1,21.11,21.11,Assorted Astrantia,0ae9b10f-f156-4433-af78-21684f6ae2c3,0.9364005327224731,Astrantia,dec31f8d-05ae-40dd-8d32-369bd1f36169,1.0,2025-05-07,2025-05-08
