competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Flowermarketplace,2203165,Dogwood Red Large,Branches,Bunch,,1,24.33,Red Twig Dogwood,44bf7e4b-d584-4691-9b53-a34ab8a5dd5f,0.9153629541397095,,,,2025-05-09,2025-05-10
Flowermarketplace,2274332,DRIED Assorted BQT FLOWERS &#8211; 10BU/BX.,dried,Bunch,,1,33.22,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2274279,DRIED Assorted BQT FLOWERS &#8211; 30BU/BX.,dried,Stems,,1,30.56,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2271638,DRIED Bleached PHLEUM &#8211; 40BU/BX.,dried,Bunch,40,1,16.11,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2273757,DRIED MIX NATURAL/WHITE &#8211; 25BU/BX.,dried,Bunch,,1,16.67,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2271359,DRIED MIX ROSE VINTAGE &#8211; 20BU/BX.,dried,Bunch,,1,13.89,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2244010,DRIED Natural FLUFFY REED -30BU/BX,dried,Bunch,,1,17.67,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2271179,DRIED Natural LUNARIA 30BU/BX.,dried,Bunch,,1,35.44,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2271602,DRIED Natural SETARIA 30BU/BX.,dried,Bunch,,1,15.44,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2273503,DRIED Natural TARWE 30BU/BX.,dried,Bunch,50,1,10.56,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2271645,DRIED NIGELLA DAMASCENA &#8211; 20BU/BX. REG.,dried,Bunch,,1,20.56,Damascena White Nigella,81e97864-6a3f-4256-ac01-88546385b264,0.9297829866409302,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2271647,DRIED Pink LEATHERLEAF &#8211; 20BU/BX.,dried,Bunch,40,1,25.56,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2233071,DRIED White FERN TALL BLEACHED 40BU/BX.,dried,Bunch,,1,21.11,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2271649,DRIED White NIGELLA &#8211; 30BU/BX.,dried,Bunch,,1,17.67,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,2271651,DRIED White TRITICUM &#8211; 40BU/BX,dried,Bunch,50,1,13.22,,,,Dried Products,523df0d8-3b48-45e3-b9c8-44de0f9ec856,0.9325541853904724,2025-05-09,2025-05-10
Flowermarketplace,1842275,DUSTY MILLER SILVER,Dusty Miller,Bunch,,5,9.27,Assorted Silver Dusty Miller,52856eed-fbc5-4c08-ba23-02a94b11544c,0.9859814643859863,Dusty Miller,723b5f0a-b914-4d2f-b5c1-58ea4cee71ce,1.0,2025-05-09,2025-05-10
Flowermarketplace,2274238,Dusty Miller Silver Lacy,Dusty Miller,Bunch,4050,1,16.67,Assorted Silver Dusty Miller,52856eed-fbc5-4c08-ba23-02a94b11544c,0.9712556600570679,Dusty Miller,723b5f0a-b914-4d2f-b5c1-58ea4cee71ce,1.0,2025-05-09,2025-05-10
Flowermarketplace,2134978,Dusty Miller Silver Wide Leaf (10 ST),Dusty Miller,Bunch,4050,10,22.11,Assorted Silver Dusty Miller,52856eed-fbc5-4c08-ba23-02a94b11544c,0.9754030704498291,Dusty Miller,723b5f0a-b914-4d2f-b5c1-58ea4cee71ce,1.0,2025-05-09,2025-05-10
Flowermarketplace,2271463,EASTER COMBO BOX LARGE,Combo Boxes,Box,,1,419.0,,,,,,,2025-05-09,2025-05-10
