competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,stem_price,created_at,eta_date
FlowerMarketplace,2160570,ANEMONE MARIANNE PANDA,Anemone,Bunch,,1,20.83,2025-06-02,2025-06-10
FlowerMarketplace,2160572,ANEMONE NOVELTY PURPLE,Anemone,Bunch,,1,20.83,2025-06-02,2025-06-10
FlowerMarketplace,2160574,ANEMONE RED,Anemone,Bunch,,1,20.83,2025-06-02,2025-06-10
FlowerMarketplace,2160576,ANEMONE WINE RED,Anemone,Bunch,,1,20.83,2025-06-02,2025-06-10
FlowerMarketplace,2276920,ANIGOZANTHOS GREEN,Anigozanthos,Stems,80,1,7.3,2025-06-02,2025-06-10
FlowerMarketplace,2162219,ARALIA EX,Greens,Stems,,1,0.83,2025-06-02,2025-06-10
FlowerMarketplace,2162220,ARALIA I,Greens,Stems,,1,0.6,2025-06-02,2025-06-10
FlowerMarketplace,2162221,ARALIA II,Greens,Stems,,1,0.45,2025-06-02,2025-06-10
FlowerMarketplace,2162222,ARALIA III,Greens,Stems,,1,0.43,2025-06-02,2025-06-10
FlowerMarketplace,2162223,ARALIA IV,Greens,Stems,,1,0.36,2025-06-02,2025-06-10
FlowerMarketplace,2162218,ARALIA SUPER,Greens,Stems,,1,0.91,2025-06-02,2025-06-10
FlowerMarketplace,2177154,ARANTHERA ANNE BLACK,ARANTHERA,Bunch,,1,30.16,2025-06-02,2025-06-10
FlowerMarketplace,2177155,ARANTHERA AZIMAH,ARANTHERA,Bunch,,1,36.66,2025-06-02,2025-06-10
FlowerMarketplace,2177156,ARANTHERA JAME RED,ARANTHERA,Bunch,,1,30.16,2025-06-02,2025-06-10
FlowerMarketplace,2177157,ARANTHERA MAGIE OIE,ARANTHERA,Bunch,,1,30.16,2025-06-02,2025-06-10
FlowerMarketplace,2162224,ASPIDISTRIA,Greens,Stems,100,1,1.06,2025-06-02,2025-06-10
FlowerMarketplace,2162230,ASPIDISTRIA,Greens,Stems,40,1,0.04,2025-06-02,2025-06-10
FlowerMarketplace,2162229,ASPIDISTRIA,Greens,Stems,50,1,0.49,2025-06-02,2025-06-10
FlowerMarketplace,2162228,ASPIDISTRIA,Greens,Stems,60,1,0.53,2025-06-02,2025-06-10
FlowerMarketplace,2162227,ASPIDISTRIA,Greens,Stems,70,1,0.77,2025-06-02,2025-06-10
FlowerMarketplace,2162226,ASPIDISTRIA,Greens,Stems,80,1,0.83,2025-06-02,2025-06-10
FlowerMarketplace,2162225,ASPIDISTRIA,Greens,Stems,90,1,0.87,2025-06-02,2025-06-10
FlowerMarketplace,2160614,ASTER MATSUMOTO HOT PINK,Aster,Bunch,,1,10.53,2025-06-02,2025-06-10
FlowerMarketplace,2160616,ASTER MATSUMOTO PINK,Aster,Bunch,,1,10.53,2025-06-02,2025-06-10
FlowerMarketplace,2160618,ASTER PINK,Aster,Bunch,,1,6.09,2025-06-02,2025-06-10
FlowerMarketplace,2160620,ASTER PURPLE,Aster,Bunch,,1,6.09,2025-06-02,2025-06-10
FlowerMarketplace,2160622,ASTER SOLIDAGO,Aster,Bunch,,1,6.09,2025-06-02,2025-06-10
FlowerMarketplace,2160624,ASTER WHITE,Aster,Bunch,,1,6.09,2025-06-02,2025-06-10
FlowerMarketplace,2276922,ASTILBE ERIKA,Astilbe,Stems,70,1,2.35,2025-06-02,2025-06-10
FlowerMarketplace,2276924,ASTILBE ERIKA,Astilbe,Stems,70,1,2.05,2025-06-02,2025-06-10
FlowerMarketplace,2276926,ASTILBE EUROPA KOK,Astilbe,Stems,55,1,1.95,2025-06-02,2025-06-10
FlowerMarketplace,2276928,ASTILBE EUROPA KOK,Astilbe,Stems,55,1,1.7,2025-06-02,2025-06-10
FlowerMarketplace,2276930,ASTILBE FANAL,Astilbe,Stems,50,1,2.3,2025-06-02,2025-06-10
FlowerMarketplace,2276932,ASTILBE FANAL,Astilbe,Stems,60,1,1.9,2025-06-02,2025-06-10
FlowerMarketplace,2276934,ASTILBE FANAL,Astilbe,Stems,60,1,1.65,2025-06-02,2025-06-10
FlowerMarketplace,2276936,ASTILBE FANAL,Astilbe,Stems,65,1,3.8,2025-06-02,2025-06-10
FlowerMarketplace,2276938,ASTILBE FANAL,Astilbe,Stems,65,1,3.3,2025-06-02,2025-06-10
FlowerMarketplace,2276940,ASTILBE HONKY TONK,Astilbe,Stems,55,1,1.73,2025-06-02,2025-06-10
FlowerMarketplace,2276942,ASTILBE INFERNO,Astilbe,Stems,60,1,3.9,2025-06-02,2025-06-10
FlowerMarketplace,2276944,ASTILBE INFERNO,Astilbe,Stems,60,1,3.4,2025-06-02,2025-06-10
FlowerMarketplace,2276946,ASTILBE WASHINGTON,Astilbe,Stems,50,1,1.6,2025-06-02,2025-06-10
FlowerMarketplace,2276948,ASTILBE WASHINGTON,Astilbe,Stems,50,1,1.4,2025-06-02,2025-06-10
FlowerMarketplace,2276950,ASTILBE WASHINGTON,Astilbe,Stems,55,1,1.75,2025-06-02,2025-06-10
FlowerMarketplace,2276952,ASTILBE WASHINGTON KOK,Astilbe,Stems,60,1,3.95,2025-06-02,2025-06-10
FlowerMarketplace,2276954,ASTRANTIA BILLION STAR XL,Astrantia,Stems,50,1,1.53,2025-06-02,2025-06-10
FlowerMarketplace,2276956,ASTRANTIA BILLION STAR XL,Astrantia,Stems,50,1,1.33,2025-06-02,2025-06-10
FlowerMarketplace,2276958,ASTRANTIA BILLION STAR XL,Astrantia,Stems,70,1,2.1,2025-06-02,2025-06-10
FlowerMarketplace,2276960,ASTRANTIA BILLION STAR XL,Astrantia,Stems,70,1,1.83,2025-06-02,2025-06-10
FlowerMarketplace,2276962,ASTRANTIA MILLION STAR,Astrantia,Stems,70,1,2.1,2025-06-02,2025-06-10
FlowerMarketplace,2276964,ASTRANTIA MILLION STAR,Astrantia,Stems,70,1,1.83,2025-06-02,2025-06-10
FlowerMarketplace,2276966,ASTRANTIA ROMA,Astrantia,Stems,40,1,0.9,2025-06-02,2025-06-10
FlowerMarketplace,2276968,ASTRANTIA ROMA,Astrantia,Stems,40,1,0.78,2025-06-02,2025-06-10
FlowerMarketplace,2276970,ASTRANTIA ROMA,Astrantia,Stems,50,1,1.4,2025-06-02,2025-06-10
FlowerMarketplace,2276972,ASTRANTIA ROMA,Astrantia,Stems,50,1,1.23,2025-06-02,2025-06-10
FlowerMarketplace,2276974,ASTRANTIA STAR OF AFRICA,Astrantia,Stems,50,1,1.13,2025-06-02,2025-06-10
FlowerMarketplace,2276976,ASTRANTIA STAR OF AFRICA,Astrantia,Stems,50,1,0.98,2025-06-02,2025-06-10
