competitor_product_id,competitor,matched_ibuyflowers,matched_variety
8078652539189,Costa Alstroemeria ,Null,Null
8163484107061,Cotton Xpression Garden Rose,Null,Null
1791277465661,Country Blues Garden Rose,Blues Country Garden Lavender Roses,2ab9f84c-c6a3-43d2-ae77-adc20901aaf4
9278662082869,Country Candy Garden Rose ,Country Garden Pink Roses,8f8bd33f-55e0-4cdf-ac39-8e062f048329
1790634000445,Country Home Garden Rose,Country Garden Home Peach Roses,20931a27-307b-4ad2-bc71-f0f441d197ff
4263429079101,Country Louise Garden Rose,Country Garden Louise Peach Roses,247536e5-cf90-4424-baca-c44464276fe8
8379289567541,Country Secret Garden Rose,Country Garden Roses Secret White,0fa57fdf-cff2-46a6-9bbe-81c095a994b8
4718257602659,Courier Lily 35 Bloom ,Bl Courier Cream Hybrids La Lilies,14bb3530-24b5-489f-afca-d7953549c755
6656537428067,Craspedia Pop ,And Blush Craspedia Dried Flowers Preserved,c3625c35-13d7-4ee3-9231-4f6283da32e6
6656537428067,Craspedia Jumbo ,And Craspedia Deep Dried Flowers Preserved Red,64589832-f51e-4943-8e1c-e92384f6ee43
1794104852541,Cream Irishka Spray Rose,Blush Cream Irishka Roses Spray,050d0811-236f-4359-aead-dafd96929d7c
8481283932469,Cream Xpression Garden Rose,Expression Garden Pink Roses,0b9cdd23-6764-46ea-91bb-fbe6d85006c5
4608629145699,Cream Yellow Elegance Ranunculus ,Cream Elegance Ranunculus Yellow,cbe454d7-8ab0-47ba-b9eb-33032b9d36c8
4737218379875,Creme de la Creme Rose,Cream Creme De La Roses,d61e9ba0-f0fb-4e89-9430-0700984ce20c
1842308743229,Croton Tip Green ,Null,Null
4465276584035,Croton Tip Lemon Drop ,Null,Null
8882581635381,Crystal White Mini Calla Lily ,Calla Crystal Mini White,6181b7a1-ba55-498b-970f-e7be621f56fc
1794580021309,Cubana Rose,Cubana Roses Yellow,1c4e0af4-5732-4c57-93c2-16a59133faa6
4718263763043,Curie Oriental Lily 35 Bloom ,Curie Lilies Oriental Pink,0fa81f49-605c-45eb-ae15-c02ca628c3a9
8287525404981,Curiosity Rose,Null,Null
1841482498109,Curly Willow ,Curly Green Tips Willow,Null
8915474317621,Cypress Green (Colombia) ,Cypress Green,911bf133-f9d2-4929-a56d-b36f9fa79130
8934004818229,Cypress Green () ,Cypress Green,911bf133-f9d2-4929-a56d-b36f9fa79130
6661959909475,Dante Red Carnation ,Carnation Daniko Red,f3a8ae3a-cbf3-437d-9246-a6cc84d67593
4638392615011,Dark Rosano Cremon Chrysanthemum ,Chrysanthemum Cremon Dark Disbuds/ Lavender Mums Rosanno,9b6f1f21-804d-41ee-8427-c8264136eb43
4548236738659,Dark Xpression Garden Rose,Null,Null
4375839375459,Deep Pink Double Stock ,Double Hot Pink Spray Stock,bfdd425d-8212-4482-bf58-9afab08464ab
4375846289507,Deep Purple Double Stock ,Double Purple Spray Stock,42110207-85c6-49cb-a3d7-eeaef01cdb28
6615145676899,Deep Purple Rose,Deep Lavender Purple Roses,7700981c-8639-4a6b-ac12-8f4577aac4ff
1817445138493,Dracaena Compacta ,Null,Null
10083926507829,Dragonfly Garden Rose,Null,Null
1502829281341,Dumb Cane (Dieffenbachia) ,Dieffenbachia Leafs Variegated,23c74d30-9194-4e8d-be0a-7b0e8c1669f5
4516906696803,Dune Jumbo Gerber Daisy 40 ,Dune Flowered Gerbera Large Orange,8b052a9f-42f0-420a-ac12-753054407672
4516906696803,Dune Jumbo Gerber Daisy 50 ,Dune Flowered Gerbera Large Orange,8b052a9f-42f0-420a-ac12-753054407672
1546596548669,Dusty Miller Broad Leaf (Senecio) ,Null,Null
1790639407165,Dynamic Rose,Dynamic Garden Lime Roses,4f6601ec-ae60-4fcc-ba80-c79350dbad4e
1793825079357,Early Grey Rose,Early Grey Lavender Roses,aa530c1d-1d16-474e-adb8-9aaf51c9b64d
8482311242037,Easy Fashion Rose,Null,Null
10048639074613,Echo Pink Lisianthus ,Double Echo Lisianthus Pink,b7330d11-9dcd-4e0d-a552-15f93dcc1c59
8938918314293,El Divo Lily 35 Bloom ,Bl Divo El Hybrids La Lilies Yellow,5c44de18-751a-4c3e-852f-66909d6c4e69
1794115993661,Elba Spray Rose,Elba Pink Roses Spray,532abc20-d821-40cb-8e46-14855bd0c514
6608548036707,Empress Cremon Chrysanthemum ,Chrysanthemum Cremon Disbuds/ Empress Mums Orange,c95de67e-cf84-4429-9ea2-67626f05d587
8485496652085,Enchantment Garden Rose,Enchantment Pink Roses,371eae99-1930-4d64-8b6b-d52d6f6e14be
1863674495037,Ercolano Lily 35 Bloom ,Null,Null
1863671119933,Eremo Lily 35 Bloom ,Null,Null
6851737288803,Escimo Rose,Escimo Roses White,d4cd1ac1-b7df-446f-8fbb-3b2a88283ee9
1784903761981,Esperance Rose,Esperance Pink Roses,3936ceeb-36db-4f0b-b405-141119580609
8926600626485,Eucalyptus Baby Blue ,Baby Blue Eucalyptus Green,6f5d478f-b433-4da6-a445-ebc8502852f7
8933359878453,Eucalyptus Nicholii ,Null,Null
6553859162211,Eucalyptus Parvifolia 50 ,Null,Null
6553857458275,Eucalyptus Pulverulenta (XL Baby Blue) ,Null,Null
6683863089251,Eucalyptus Silver Dollar 50 ,Null,Null
4407225942115,Eva Spray Rose,Eva Pink Roses Spray,84b24f96-cf34-476f-8ab4-5e117bf9af16
1772189745213,Explorer Rose,Explorer Red Roses,41a167bd-bf87-4f11-8afa-1c9cbb3a3cca
8938915463477,Eyeliner Lily 35 Bloom ,Bl Eyeliner Hybrids La Lilies White,39b10604-86f7-4b8a-80d0-8d045a53ee00
1771915477053,Faith Rose,Faith Pink Roses,2bef2294-90df-49da-8bfd-0ee960791b68
1832036302909,Fangio Lily 35 Bloom ,Bl Fangio Hybrids La Lilies Pink,f56a0e5e-38bb-41f3-8ebf-7efb1901ceda
6693577064547,Farida Carnation ,Carnation Farida Lavender,9543b07a-1958-4fb1-b397-d2d95adbd3e8
8283042021685,Fascination Rose,Fascination Garden Pink Roses,569c32cb-c475-4093-909e-5a15d52baae2
6841211453539,Favola Success Cloni (Clooney) Ranunculus 40 ,Clooney Ranunculus Success White,22d7df50-9c85-4055-ac74-1cac599d9bf7
8283065811253,Favourite Rose,Favourite Peach Roses,792db66e-be62-49f9-b1fe-9114805b9775
8885989998901,Felicidad Success Cloni Ranunculus 40 ,Light Pink Ranunculus Success,d0c168d9-67e1-4d5e-8cd7-f089b1ce380a
4464666050659,Felicity Rose,Felicity Peach Roses,1bd4a2e1-a608-4b7f-9cb6-ed17b629fe15
1790641471549,Fidji Rose,Null,Null
8826216874293,Firework Sunflower Petite ,Null,Null
8826216874293,Firework Sunflower Medium ,Null,Null
8826216874293,Firework Sunflower Select ,Firewalker Select Sunflower Yellow,161c8c52-0c68-4dac-8128-30388cdcfe2e
8882589368629,Florex Mini Calla Lily ,Null,Null
10034110366005,Forattini Carnation ,Null,Null
4749608419427,Fortune Rose,Fortune Red Roses,38f1ddf7-1b66-443e-9fb2-3e1007a9f150
1772207407165,Free Spirit Garden Rose,Free Garden Orange Roses Spirit,d24a19f4-a094-4319-8be4-e711959f72db
1790643961917,Freedom Rose,Freedom Red Roses,bb8c5298-179b-4c2b-a57a-de0b14efa71b
8606350475573,Friendship Rose,Null,Null
1790645534781,Frutteto Rose,Frutteto Pink Roses,c868ec55-4528-49e0-99c3-d31c6552a2c6
8506105168181,Fuego Rose,Null,Null
8152619811125,Full Monty Rose,Full Monty Pink Roses,76b584fc-bea8-430b-8353-e5e98474c53a
10036683505973,Galahad White Hybrid Delphinium ,Delphinium Galahad Hybrid White,5fbf3807-74c0-4228-9121-f7c644a5e7cf
8283582398773,Garden Bridal Jewel Spray Rose,Null,Null
8788887241013,Gargarin Cremon Chrysanthemum ,Chrysanthemum Cremon Disbuds/ Gagarin Mums White,6e6041dd-385d-4573-a291-3f9d4c984925
9009300898101,Gaviria Cremon Chrysanthemum ,Chrysanthemum Cremon Disbuds/ Gaviria Mums Purple,456a4554-bf66-474b-bf6e-b1855e73f774
8385697677621,Geraldine Rose,Geraldine Pink Roses,d5808360-30ad-497d-9972-ed11b9fc1186
6654389551203,Golden Prairie Achillea (Yarrow) ,Null,Null
8389526028597,Goldfinch Rose,Goldfinch Roses Yellow,2986e660-52df-467b-af07-01a7cd264358
4749610319971,Gotcha Rose,Gotcha Pink Roses,82f5490a-e106-43c3-87c1-33b0b166e171
8506409156917,Govinda Rose,Govinda Lavender Roses,63f6668d-5e61-4090-ab5d-ba3efdac2cad
6693551833187,Grace Carnation ,Null,Null
8506480656693,Grace Kelly Rose,Kelly Orange Roses,02e17cf9-444f-45a2-a72e-a96ad76d0f59
8506765705525,Gran Donna Rose,Null,Null
8534134522165,Grandiose Rose,Null,Null
4409478774883,Green Dianthus (Green Ball) ,Ball Dianthus Green,5600b344-6f44-4071-8d2b-0651f4ed50b8
8078682521909,Green Planet Alstroemeria ,Alstroemeria Green,2e52f64f-0e58-4ac8-bc8a-c7777d55acb2
4682590158947,Green Spider Chrysanthemum ,Chrysanthemum Dark Disbuds/ Green Mums Spider,1aa792a3-9ad5-4cbe-8a68-69ef631704fa
1794646474813,Grey Knights Rose,Grey Knights Lavender Roses,23e03356-ca36-410e-b955-42c92c8d2ba0
9315448848693,Gypsophila Angel Pink (Tinted)  12 Bunches ($10.75 Per Bunch),Null,Null
9315449864501,Gypsophila Lavender (Tinted)  12 Bunches ($10.75 Per Bunch),Null,Null
