competitor_product_id,competitor,matched_ibuyflowers,variety_key
2097919,SPRAY ROSES WHITE SNOWFLAKE,White Snowflake Spray Roses,c7752584-99c3-444a-8b3c-ee46166268d9
1858968,Sprays Assorted,Mixed Assorted Spray Roses,450af4be-6330-47e7-a316-bfa8737d0bcc
1858837,Sprays Assorted,Mixed Assorted Spray Roses,450af4be-6330-47e7-a316-bfa8737d0bcc
2263525,Sprays Hot Pink Cherry Blossom ,Null,Null
2135162,Sprays Red Rubicon,Red Rubicon Spray Roses,896abed4-5b18-49f5-b1fd-6f679c044a87
2144452,Sprays Red Rubicon,Red Rubicon Spray Roses,896abed4-5b18-49f5-b1fd-6f679c044a87
1860442,Sprays Red Scarlette,Red Scarlet Mini Spray Roses,10c40977-a739-4e28-8572-ea0ce6bb4b8c
1860445,Sprays Red Scarlette,Red Scarlet Mini Spray Roses,10c40977-a739-4e28-8572-ea0ce6bb4b8c
2219505,Sprays White Floreana,White Floreana Spray Roses,8fa753ab-5273-4115-962a-3e5688f4db42
2219507,Sprays White Floreana,White Floreana Spray Roses,8fa753ab-5273-4115-962a-3e5688f4db42
1858798,Sprays White Majolika,White Majolika Spray Roses,f740603f-e493-4a07-a9e7-cc73c854215b
1858801,Sprays White Majolika,White Majolika Spray Roses,f740603f-e493-4a07-a9e7-cc73c854215b
1901211,Sprays White Viviane,White Viviane Spray Roses,03eb6f9b-c22e-42c9-a05c-89ff9a5763f5
2230695,Springerii GREEN,Green Sprengerii Asparagus,673f1405-4828-4926-861f-c80dde619de2
2135055,Springerii Green,Green Sprengerii Asparagus,673f1405-4828-4926-861f-c80dde619de2
2133131,Star of Beth,White Star Of Bethlehem Stars Beth,28b783ee-8d97-4649-9962-d49a4dce4a2d
325548,STATICE ASSORTED,Mixed Assorted Statice,47b4fa4a-bd92-49f1-882b-991b1fb7e741
324,STATICE PURPLE,Purple Statice,cca7bf2f-1471-42a4-bd4d-fec92b81954c
2133296,Statice White,White Statice,b34b35b0-2ad5-4824-aa4f-dd907edb76d4
2227737,Steel Grass GREEN,Null,Null
2211403,Steel Grass Green,Null,Null
2211816,Stock Assorted,Mixed Assorted Stock,f11f483a-e25b-4660-9544-e7a7598fce04
2135059,Stock Dark Purple,Purple Dark Stock,a5d33434-71a0-4664-aec5-50b067a5267a
328,STOCK HOT PINK,Pink Hot Stock,2e077bc0-d072-44ef-ae0b-3d4c639387b5
2145989,Stock Lavander,Lavender Stock,b5bfd498-0086-4c2c-8901-6e605037465e
325535,STOCK LIGHT PINK,Pink Light Stock,7dc29cc5-d734-449a-922c-60621994b4ed
2133300,Stock Mathiola Dark Purple Super,Purple Dark Stock,a5d33434-71a0-4664-aec5-50b067a5267a
1860265,Stock Mathiola Hot Pink Super,Pink Double Hot Stock Spray,bfdd425d-8212-4482-bf58-9afab08464ab
1861153,Stock Mathiola Mauve Super,Null,Null
1860408,Stock Mathiola Pink Super,Pink Stock,45bd7d4c-89f2-4b5e-a5ea-52b759201447
2133320,Stock Mathiola Rubi Red Super,Null,Null
1860274,Stock Mathiola Spray White,White Double Stock Spray,bcb48e35-3482-41ca-9b66-32b5afd20e07
1858831,Stock Mathiola White Super,White Double Stock Spray,bcb48e35-3482-41ca-9b66-32b5afd20e07
2212077,Stock Mauve,Purple Stock,3e93f0c4-b325-4a21-ba3e-24062578698e
325518,STOCK PEACH,Peach Stock,1497f7fe-776d-4f1f-b891-dbb609a82ef5
2145991,Stock Peach,Peach Stock,1497f7fe-776d-4f1f-b891-dbb609a82ef5
2098929,STOCK PURPLE,Purple Stock,3e93f0c4-b325-4a21-ba3e-24062578698e
1860377,Stock Spray Pink,Pink Light Stock Spray,1e833f5e-856c-4a47-a72c-b7da5bcdc259
2274337,STOCK SPRAY YELLOW,Yellow Double Stock Spray,32a5e1c6-c8ff-4468-a7e0-792eb036afc2
325501,STOCK WHITE,White Stock,5de3bbad-c3b8-4c77-aa4e-ec49154b374a
2096615,STOCK WHITE,White Stock,5de3bbad-c3b8-4c77-aa4e-ec49154b374a
2138978,Stock White,White Stock,5de3bbad-c3b8-4c77-aa4e-ec49154b374a
2231110,Super Jade Green,Null,Null
2135068,Sword Fern Green GREEN,Green Sword Fern,71faa0c2-ae18-44e6-835d-12c716270509
2220151,Sword Fern GREEN GREEN,Green Sword Fern,71faa0c2-ae18-44e6-835d-12c716270509
2148609,Teepe (LG) Mexican Green,Green Lg Manzanita,2951bc7d-a311-4c78-b483-e073d5fc2a11
2146177,Ti Leaves Assorted MIX MIX,Null,Null
329213,TI LEAVES GREEN,Green Cordyline Ti Leaves,0b27b452-a3c2-4611-8885-fe6ac187f519
2220828,Ti Leaves Green GREEN,Green Cordyline Ti Leaves,0b27b452-a3c2-4611-8885-fe6ac187f519
2135072,Ti Leaves Green Green,Green Cordyline Ti Leaves,0b27b452-a3c2-4611-8885-fe6ac187f519
2236529,Ti Leaves Red Sister,Red Cordyline Ti Leaves,6694113c-5b1e-4e6c-827b-43e38a7fb9e6
2135074,Ti Leaves Red Sister Red,Red Cordyline Ti Leaves,6694113c-5b1e-4e6c-827b-43e38a7fb9e6
2221050,Tree Fern GREEN,Green Tree Fern,12f0a153-0e30-492d-bf04-7dcdb3f964cc
2220082,Tree Fern GREEN,Green Tree Fern,12f0a153-0e30-492d-bf04-7dcdb3f964cc
2141065,True Blue Eucalyptus Green,Green True Blue-Spiral Eucalyptus,9cd586cb-8bd2-4e9a-9367-21b5da39dbdc
325074,TULIP ASSORTED,Null,Null
1859478,Tulip Red Hamper,Null,Null
1860393,Tulip Yellow Hamper,Null,Null
2263568,Tulips Assorted,Null,Null
2264357,Tulips Light Pink,Null,Null
2182516,Umbrella Palm Green,Null,Null
2133349,Veronica White,White Veronica,1767e95a-c83f-4fdb-b85d-27157a044a90
2264358,Veronica Assorted,Mixed Assorted Veronica,d1f3c9a1-7b58-4fca-b75b-0400c7910585
2146552,Veronica Assorted,Mixed Assorted Veronica,d1f3c9a1-7b58-4fca-b75b-0400c7910585
2223906,Veronica BLUE,Purple Blue Veronica,b88b58c0-5fb8-435d-91a8-d74abbf01d12
2223379,Veronica White,White Veronica,1767e95a-c83f-4fdb-b85d-27157a044a90
2211449,VERONICAS WHITE SKYLER,White Skyler Veronica,accb49df-39c1-406b-a643-9d09a9917152
