competitor_product_id,competitor,matched_ibuyflowers,matched_variety
2177166,Dendrobium Big White Jumbo Green,Null,Null
2177167,Dendrobium Big White Jumbo Red,Null,Null
2177168,Dendrobium Big White Jumbo Yellow,Null,Null
2177169,Dendrobium Burana Jade,Dendrobium Green Hybrid Jade Siam,f093ff7b-6aca-440c-ad6b-47a2a18bdab9
2177170,Dendrobium Butterfly,Null,Null
2177171,Dendrobium Chalerm Porn,Null,Null
2177172,Dendrobium Charak Red,Null,Null
2177173,Dendrobium Chid Chom,Null,Null
2177175,Dendrobium Dahila Pink,Null,Null
2177174,Dendrobium Diana Green,Dendrobium Diana Hybrid White,5eabad3a-d399-4e82-bc83-8c27c7341ab8
2177176,Dendrobium Jinda Sweet,Dendrobium Jinda Pink Sweet,e4409602-3ade-4681-8d3b-2f67dcdc10f8
2177177,Dendrobium Juree Red,Null,Null
2177178,Dendrobium Kamila,Null,Null
2177180,Dendrobium Kathy Pink,Null,Null
2177179,Dendrobium King Dragon,Null,Null
2177181,Dendrobium Lervia,Null,Null
2177183,Dendrobium Lovely Pink,Null,Null
2177184,Dendrobium Lucy Pink,Null,Null
2177185,Dendrobium Madam,Null,Null
2177187,Dendrobium Mali White,Null,Null
2177188,Dendrobium Mary Red,Null,Null
2177197,Dendrobium Metas Red,Null,Null
2177186,Dendrobium Micky Pink,Null,Null
2177189,Dendrobium Miss Pink,Null,Null
2177190,Dendrobium Miss Teen,Null,Null
2177191,Dendrobium Miss Teen Blue,Null,Null
2177192,Dendrobium Miss Teen Green,Null,Null
2177193,Dendrobium Miss Teen Red,Null,Null
2177194,Dendrobium Miss Teen Yellow,Null,Null
2177195,Dendrobium Miss World,Null,Null
2177196,Dendrobium Morning Pink,Null,Null
2177199,Dendrobium Nature White,Dendrobium White,9debc2a6-049c-47ad-a9c0-7adf52562902
2177200,Dendrobium New Wasana,Null,Null
2177198,Dendrobium Nopporn Pink,Null,Null
2177201,Dendrobium Pennapha,Null,Null
2177202,Dendrobium Pramote,Null,Null
2177203,Dendrobium Purple Joe,Null,Null
2177204,Dendrobium Queen Pink,Null,Null
2177205,Dendrobium Rainy Pink,Null,Null
2177206,Dendrobium Red Bull,Null,Null
2177207,Dendrobium Red Sonia,Blue Dendrobium Red Sonia,463e5281-a460-4b98-b018-61ce856d6b3c
2177208,Dendrobium Red Sonia Blue,Blue Dendrobium Red Sonia,463e5281-a460-4b98-b018-61ce856d6b3c
2177209,Dendrobium Red Sonia Green,Blue Dendrobium Red Sonia,463e5281-a460-4b98-b018-61ce856d6b3c
2177210,Dendrobium Red Sonia Red,Blue Dendrobium Red Sonia,463e5281-a460-4b98-b018-61ce856d6b3c
2177211,Dendrobium Red Sonia Yellow,Blue Dendrobium Red Sonia,463e5281-a460-4b98-b018-61ce856d6b3c
2177212,Dendrobium Rosy Red,Null,Null
2177213,Dendrobium Sakura,Dendrobium Pink Sakura,93a66cad-93ee-4b8c-af58-31a3db7a2f39
2177214,Dendrobium Sanan,Null,Null
2177216,Dendrobium Starlight,Null,Null
2177215,Dendrobium Sugar Pink,Null,Null
2177217,Dendrobium Supinya,Null,Null
2177218,Dendrobium Suree Peach,Null,Null
2177220,Dendrobium Tawan Pink,Null,Null
2177221,Dendrobium Twotone,Null,Null
2177222,Dendrobium Vailai,Null,Null
2177219,Dendrobium Vailai Jinda,Dendrobium Jinda Pink Sweet,e4409602-3ade-4681-8d3b-2f67dcdc10f8
2177223,Dendrobium Ying Pink,Null,Null
2161201,Dianthus Green Wicky,Dianthus Green Wicky,13318cc5-9cdf-4821-a8c7-2a5b37c5069c
2160770,Disbuds Cremon Assorted,Assorted Chrysanthemum Cremon Disbuds/ Everyday Mixed Mums,3a04c553-00b8-4b3d-abda-d41bdd80406b
2160772,Disbuds Cremon Bronze,Bronze Chrysanthemum Cremon Disbuds/ Mums,638c16b0-393c-4142-afaf-e556b6a0e522
2160774,Disbuds Cremon Green,Chrysanthemum Cremon Disbuds/ Green Mums,0caba4f4-49ec-4ef1-b62a-d9213a633b4b
2160776,Disbuds Cremon Pink,Chrysanthemum Cremon Disbuds/ Mums Pink,e6e3efbb-0c50-45b2-8477-d7460e019b91
2160778,Disbuds Cremon Purple,Chrysanthemum Cremon Disbuds/ Mums Purple,a7642935-aa1f-473e-a268-6d2e51e41990
2160780,Disbuds Cremon Red,Chrysanthemum Cremon Disbuds/ Mums Red,113d7a1c-1e81-4031-bbd9-9e78177ca66d
2160782,Disbuds Cremon Red Morgan,Chrysanthemum Cremon Disbuds/ Morgan Mums Red,8ea60465-b78c-4643-be8a-beb6ec30c776
2160784,Disbuds Cremon Virginia,Chrysanthemum Cremon Disbuds/ Mums Red Virginia,c79042d8-dda9-424d-b10b-f8bc59cdc220
2160786,Disbuds Cremon White,Chrysanthemum Cremon Disbuds/ Mums White,45a378e6-4319-413f-9fa2-4dce02b62562
2160788,Disbuds Cremon Yellow,Chrysanthemum Cremon Disbuds/ Mums Yellow,83ddd51b-1f83-412c-a4c5-709983c59b40
2161077,Disbuds Spider Anastasia Green,Null,Null
2161079,Disbuds Spider Assorted,Assorted Chrysanthemum Day Disbuds/ Mixed Mothers Mums Spider,3890f866-ba1b-466d-917c-3924206dcb00
2161081,Disbuds Spider Dark Green,Chrysanthemum Dark Disbuds/ Green Mums Spider,1aa792a3-9ad5-4cbe-8a68-69ef631704fa
2161083,Disbuds Spider Lavender,Chrysanthemum Disbuds/ Lavender Lilac Mums Spider,4cc32f10-129f-4457-971d-4a7805d96465
2161085,Disbuds Spider Orange,Null,Null
2161087,Disbuds Spider Pink,Anastasia Chrysanthemum Disbuds/ Mums Pink Spider,bb928c2c-1c7a-4c4d-9e59-f7bc51ce67cf
2161089,Disbuds Spider Purple,Chrysanthemum Disbuds/ Lavender Lilac Mums Spider,4cc32f10-129f-4457-971d-4a7805d96465
2161091,Disbuds Spider White,Chrysanthemum Disbuds/ Mums Spider White,ab9a1708-8f89-40fa-a6a2-4988bf91fede
2161093,Disbuds Spider Yellow,Anastasia Chrysanthemum Disbuds/ Mums Spider Yellow,4ddca3e0-38d8-421d-99be-14a31c1e411b
2163706,Dried Andean Aster Bleach,Null,Null
2161203,Dried Bismark Palm Round,Null,Null
2163736,Dried Bouquet Eternal Large,Null,Null
2161205,Dried Bouquet Magical Assorted,Null,Null
2163738,Dried Bouquet Mariel,Null,Null
2161207,Dried Eryngium Bleached,And Bleached Dried Flowers Preserved Ruscus White,115357ba-a2e4-4dfd-a605-5818f8d391e8
2163712,Dried Eucalyptus Leaves Red,Null,Null
2161209,Dried Fantasy Assorted Bouquet,Null,Null
2161211,Dried Foxtail Grass 150Gram,Null,Null
2161213,Dried Ginger,Null,Null
2163734,Dried Ginger Dry Natural,Null,Null
2163702,Dried Gypso Bleach,And Bleached Dried Flowers Preserved Ruscus White,115357ba-a2e4-4dfd-a605-5818f8d391e8
2163716,Dried Heliconia Carioca Bleached,Null,Null
2161215,Dried Heliconia Carioca Hanging,Null,Null
2163722,Dried Heliconia She Kong L,Null,Null
2163718,Dried Heliconia She Kong Xl,Null,Null
2163720,Dried Heliconia She Kong Xl,Null,Null
2161217,Dried Heliconia Upright,Null,Null
2161219,Dried Ixodia,Null,Null
2161221,Dried Jungle Apple Bleached,Null,Null
2161223,Dried Lagurus Bleached,Null,Null
2163704,Dried Linum Bleach,And Bleach Cream Dried Flowers Linum Preserved,4f4c92b9-e676-4dcf-8acf-8398bf14c019
2161225,Dried Loafa Sponge Assorted,Null,Null
2161227,Dried Loafa Sponge Bleached,Null,Null
2161229,Dried Nigella Orientalis Bleached,Nigella White,7fdc5bcf-263c-48a3-ada7-104b1ea722ff
2163714,Dried Oats Bleach,Bleached Cream Dried Oats Products,3adeeb6e-e3d7-44c0-9450-0db0a20cae7d
2163708,Dried Orchard Grass Bleach,And Dried Flowers Grass Pampas Preserved Pure White,512e3bbc-3aa6-4547-884d-59855907eb28
2163710,Dried Orchard Grass Tinted,And Cream Dried Flowers Grass Natural Pampas Preserved,a5f0069a-4da3-431a-a3b0-f94895a43b43
2163726,Dried Pampas Fat Natural,And Brown Dried Flowers Natural Pampas Preserved,c5ba7e07-23cc-4d68-a834-9cb4beccf219
2163728,Dried Pampas Fat Pink,And Dried Flowers Grass Pampas Pink Preserved Serenity,c736562a-d6b2-4e7e-92f5-1c1472c98d55
2163730,Dried Pampas Slim Natural,Null,Null
2163732,Dried Pampas Slim Pink,And Dried Flowers Grass Pampas Pink Preserved Serenity,c736562a-d6b2-4e7e-92f5-1c1472c98d55
2161231,Dried Phalaris Bleached,Null,Null
2161381,Dried Ruscus Italy Bleached,Bleached Italian Ruscus White,3b5b288d-68d5-474f-a6b7-6d6c343f7866
2161383,Dried Ruscus Italy Bleached Assorted,Bleached Italian Ruscus White,3b5b288d-68d5-474f-a6b7-6d6c343f7866
2163724,Dried Sorghum Bleached,Null,Null
2161233,Dried Stopa,Null,Null
2161235,Dried Straw Palm Bleached,Null,Null
2161239,Dried Vines Inga Bleached,- Green Intertwined Sections Smilax Strands Vine,1b0268e9-d27f-4cf9-adc4-ef67b5c9aaf3
2161241,Dried Washintonian Palm Round,Null,Null
2160790,Dusty Miller,Dusty Lacey Miller Silver,e47a4311-9e5e-4762-b94e-408ee36afcf3
2161243,Eryngium Blue Lagoon,Blue Lagoon Star Thistle,6472aed1-0759-4593-a049-8a9c3c4b690a
2162200,Eucalyptus Baby Blue 200 Green,Baby Blue Eucalyptus Green,6f5d478f-b433-4da6-a445-ebc8502852f7
2162201,Eucalyptus Baby Blue 300Gr,Baby Blue Eucalyptus Green,6f5d478f-b433-4da6-a445-ebc8502852f7
2162202,Eucalyptus Cinerea 200 Green,Cinerea Eucalyptus Green,479ef914-9b6e-41e4-b4b6-97ec0f0215a9
2162203,Eucalyptus Cinerea 300Gr,Cinerea Eucalyptus Green,479ef914-9b6e-41e4-b4b6-97ec0f0215a9
2162204,Eucalyptus Parvifolia 200 Green,Eucalyptus Green Parvifolia,9bf77417-3ff1-44a7-9da2-3a1e5a38d570
2162205,Eucalyptus Parvifolia 300Gr,Null,Null
2162206,Eucalyptus Populus 200 Green,Bunch Eucalyptus Green Per Populus,1b2aab98-16b9-4efe-a8f3-0996b9b01467
2162207,Eucalyptus Populus 300Gr,Bunch Eucalyptus Green Per Populus,1b2aab98-16b9-4efe-a8f3-0996b9b01467
