competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,color,stem_length,stems_per_unit,unit_price,price_per_stem,base_price,freight_price,margin,available_units,grower_name,grower_country,product_url,image_url,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Mayesh,1052764,Alstroemeria Whistler White Fancy,Alstroemeria,490,White,,150,135.0,0.9,0.35,0.34,37.5,17,,Colombia,https://www.mayesh.com/alstroemeria-whistler-white-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-whistler-white.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.367176,2025-05-20
Mayesh,1052765,Alstroemeria Whistler White Select,Alstroemeria,490,White,,150,147.0,0.98,0.4,0.34,37.5,18,,Colombia,https://www.mayesh.com/alstroemeria-whistler-white-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-whistler-white.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.418989,2025-05-20
Mayesh,1052766,Alstroemeria Whistler White Super Select,Alstroemeria,490,White,,120,139.2,1.16,0.46,0.42,37.5,20,,Colombia,https://www.mayesh.com/alstroemeria-whistler-white-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-whistler-white.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.464098,2025-05-20
Mayesh,483806,Alstroemeria White Fancy,Alstroemeria,490,White,,150,117.0,0.78,0.31,0.29,37.5,9,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-white-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-white-2.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.511135,2025-05-20
Mayesh,483808,Alstroemeria White Select,Alstroemeria,490,White,,150,127.5,0.85,0.35,0.29,37.5,20,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-white-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-white-2.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.558148,2025-05-20
Mayesh,483807,Alstroemeria White Super Select,Alstroemeria,490,White,,120,123.6,1.03,0.42,0.36,37.5,19,C.I. Flores De Funza,Colombia,https://www.mayesh.com/alstroemeria-white-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-white-2.jpg,,,,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-12T07:45:01.606815,2025-05-20
Mayesh,500277,Amaranthus Hanging Green,Amaranthus,491,Green,,8,182.08,22.76,10.28,6.31,37.5,,,Ecuador,https://www.mayesh.com/amaranthus-hanging-green,https://www.mayesh.com/backend/files/flowers/amaranthus-hanging-green.jpg,,,,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-12T07:45:01.681578,2025-05-20
Mayesh,513360,Amaranthus Hanging Red,Amaranthus,491,Red,,8,182.08,22.76,10.28,6.31,37.5,,,Ecuador,https://www.mayesh.com/amaranthus-hanging-red,https://www.mayesh.com/backend/files/flowers/amaranthus-hanging-red.jpg,,,,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-12T07:45:01.726548,2025-05-20
Mayesh,1937431,Amaranthus Upright Bronze,Amaranthus,491,Bronze,,12,223.56,18.63,9.01,4.21,37.5,2,,Ecuador,https://www.mayesh.com/amaranthus-upright-bronze,https://www.mayesh.com/backend/files/flowers/amaranthus-upright-bronze.jpg,Upright Bronze Amaranthus bronze,02cddc93-7f3d-4b99-bd4e-f702a38dc3ae,0.9421427845954895,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-12T07:45:01.772720,2025-05-20
Mayesh,513364,Amaranthus Upright Red,Amaranthus,491,Red,,12,223.56,18.63,9.01,4.21,37.5,2,,Ecuador,https://www.mayesh.com/amaranthus-upright-red,https://www.mayesh.com/backend/files/flowers/amaranthus-upright-red.jpg,,,,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-12T07:45:01.817535,2025-05-20
