competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,state,color,stem_length,stems_per_unit,unit_price,stem_price,base_price,freight_price,margin,available_units,grower_name,grower_country,highlight_name,cleaned_name_used,product_group_key,created_at,eta_date
Mayesh,483775,Alstroemeria Lavender Super Select,Alstroemeria,490,Kentucky,Lavender,,120,114.0,0.95,0.37,0.36,37.5,6,C.I. Flores De Funza,Colombia,,Alstroemeria Lavender Super Select,490,2025-06-02,2025-06-10
Mayesh,484032,Alstroemeria Nadya Red Fancy,Alstroemeria,490,Kentucky,Red,,150,135.0,0.9,0.35,0.34,37.5,10,,Colombia,,Alstroemeria Nadya Red Fancy,490,2025-06-02,2025-06-10
Mayesh,484034,Alstroemeria Nadya Red Select,Alstroemeria,490,Kentucky,Red,,150,147.0,0.98,0.4,0.34,37.5,8,,Colombia,,Alstroemeria Nadya Red Select,490,2025-06-02,2025-06-10
Mayesh,484033,Alstroemeria Nadya Red Super Select,Alstroemeria,490,Kentucky,Red,,120,139.2,1.16,0.46,0.42,37.5,6,,Colombia,,Alstroemeria Nadya Red Super Select,490,2025-06-02,2025-06-10
Mayesh,483782,Alstroemeria Orange Fancy,Alstroemeria,490,Kentucky,Orange,,150,117.0,0.78,0.31,0.29,37.5,20,C.I. Flores De Funza,Colombia,,Alstroemeria Orange Fancy,490,2025-06-02,2025-06-10
Mayesh,484056,Alstroemeria Orange Queen Orange Fancy,Alstroemeria,490,Kentucky,Orange,,150,124.5,0.83,0.31,0.34,37.5,9,,Colombia,,Alstroemeria Orange Queen Orange Fancy,490,2025-06-02,2025-06-10
Mayesh,484058,Alstroemeria Orange Queen Orange Select,Alstroemeria,490,Kentucky,Orange,,150,135.0,0.9,0.35,0.34,37.5,9,,Colombia,,Alstroemeria Orange Queen Orange Select,490,2025-06-02,2025-06-10
Mayesh,484057,Alstroemeria Orange Queen Orange Super Select,Alstroemeria,490,Kentucky,Orange,,120,130.8,1.09,0.42,0.42,37.5,6,,Colombia,,Alstroemeria Orange Queen Orange Super Select,490,2025-06-02,2025-06-10
Mayesh,483784,Alstroemeria Orange Select,Alstroemeria,490,Kentucky,Orange,,150,127.5,0.85,0.35,0.29,37.5,20,C.I. Flores De Funza,Colombia,,Alstroemeria Orange Select,490,2025-06-02,2025-06-10
Mayesh,483783,Alstroemeria Orange Super Select,Alstroemeria,490,Kentucky,Orange,,120,127.2,1.06,0.44,0.36,37.5,20,C.I. Flores De Funza,Colombia,,Alstroemeria Orange Super Select,490,2025-06-02,2025-06-10
Mayesh,483790,Alstroemeria Pink Fancy,Alstroemeria,490,Kentucky,Pink,,150,112.5,0.75,0.29,0.29,37.5,20,C.I. Flores De Funza,Colombia,,Alstroemeria Pink Fancy,490,2025-06-02,2025-06-10
Mayesh,483792,Alstroemeria Pink Select,Alstroemeria,490,Kentucky,Pink,,150,123.0,0.82,0.33,0.29,37.5,20,C.I. Flores De Funza,Colombia,,Alstroemeria Pink Select,490,2025-06-02,2025-06-10
Mayesh,483791,Alstroemeria Pink Super Select,Alstroemeria,490,Kentucky,Pink,,120,120.0,1.0,0.4,0.36,37.5,19,C.I. Flores De Funza,Colombia,,Alstroemeria Pink Super Select,490,2025-06-02,2025-06-10
Mayesh,1822882,Alstroemeria Pink/White Fancy,Alstroemeria,490,Kentucky,Pink/White,,150,108.0,0.72,0.27,0.29,37.5,10,C.I. Flores De Funza,Colombia,,Alstroemeria Pink/White Fancy,490,2025-06-02,2025-06-10
Mayesh,1822883,Alstroemeria Pink/White Select,Alstroemeria,490,Kentucky,Pink/White,,150,117.0,0.78,0.31,0.29,37.5,10,C.I. Flores De Funza,Colombia,,Alstroemeria Pink/White Select,490,2025-06-02,2025-06-10
