competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,color,stem_length,stems_per_unit,unit_price,price_per_stem,base_price,freight_price,margin,available_units,grower_name,grower_country,product_url,image_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Mayesh,487683,Rose Sweet Escimo Blush,Rose,900,Blush,40,125,136.25,1.09,0.43,0.4,37.5,11,,Ecuador,https://www.mayesh.com/rose-sweet-escimo-blush-40-cm,https://www.mayesh.com/backend/files/flowers/rose-sweet-escimo-blush.jpg,Sweet Escimo Roses pink - light,dbaa3299-15b4-40c0-b13f-df5db1cda9cd,0.9762111902236938,blush escimo rose sweet,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:33.828368,2025-05-23
Mayesh,487684,Rose Sweet Escimo Blush,Rose,900,Blush,50,100,143.0,1.43,0.58,0.51,37.5,26,,Ecuador,https://www.mayesh.com/rose-sweet-escimo-blush-50-cm,https://www.mayesh.com/backend/files/flowers/rose-sweet-escimo-blush.jpg,Sweet Escimo Roses pink - light,dbaa3299-15b4-40c0-b13f-df5db1cda9cd,0.9762111902236938,blush escimo rose sweet,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:33.888147,2025-05-23
Mayesh,487685,Rose Sweet Escimo Blush,Rose,900,Blush,60,100,163.0,1.63,0.7,0.51,37.5,18,,Ecuador,https://www.mayesh.com/rose-sweet-escimo-blush-60-cm,https://www.mayesh.com/backend/files/flowers/rose-sweet-escimo-blush.jpg,Sweet Escimo Roses pink - light,dbaa3299-15b4-40c0-b13f-df5db1cda9cd,0.9762111902236938,blush escimo rose sweet,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:33.954185,2025-05-23
Mayesh,4265316,Rose Sweet Memory Pink,Rose,900,Pink,40,100,129.0,1.29,0.49,0.51,37.5,3,,Ecuador,https://www.mayesh.com/rose-sweet-memory-pink-40-cm,https://www.mayesh.com/backend/files/flowers/rose-sweet-memory-pink.jpg,Sweet Memory Roses pink,df7713e9-a391-4a7c-bb58-a2407399812d,0.9720271825790405,memory pink rose sweet,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.024433,2025-05-23
Mayesh,4265363,Rose Sweet Memory Pink,Rose,900,Pink,50,100,143.0,1.43,0.58,0.51,37.5,5,,Ecuador,https://www.mayesh.com/rose-sweet-memory-pink-50-cm,https://www.mayesh.com/backend/files/flowers/rose-sweet-memory-pink.jpg,Sweet Memory Roses pink,df7713e9-a391-4a7c-bb58-a2407399812d,0.9720271825790405,memory pink rose sweet,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.096854,2025-05-23
Mayesh,4265410,Rose Sweet Memory Pink,Rose,900,Pink,60,100,163.0,1.63,0.7,0.51,37.5,5,,Ecuador,https://www.mayesh.com/rose-sweet-memory-pink-60-cm,https://www.mayesh.com/backend/files/flowers/rose-sweet-memory-pink.jpg,Sweet Memory Roses pink,df7713e9-a391-4a7c-bb58-a2407399812d,0.9720271825790405,memory pink rose sweet,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.165527,2025-05-23
Mayesh,487688,Rose Sweet Unique Pink,Rose,900,Pink,40,100,126.0,1.26,0.47,0.51,37.5,,,Ecuador,https://www.mayesh.com/rose-sweet-unique-pink-40-cm,https://www.mayesh.com/backend/files/flowers/rose-sweet-unique-pink.jpg,Sweet Mondial Roses pink - light,f50e09d4-b3ef-49af-8bdf-512311d80252,0.9695413112640381,pink rose sweet unique,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.221872,2025-05-23
Mayesh,487689,Rose Sweet Unique Pink,Rose,900,Pink,50,100,137.0,1.37,0.54,0.51,37.5,20,,Ecuador,https://www.mayesh.com/rose-sweet-unique-pink-50-cm,https://www.mayesh.com/backend/files/flowers/rose-sweet-unique-pink.jpg,Sweet Mondial Roses pink - light,f50e09d4-b3ef-49af-8bdf-512311d80252,0.9695413112640381,pink rose sweet unique,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.275568,2025-05-23
Mayesh,487690,Rose Sweet Unique Pink,Rose,900,Pink,60,100,153.0,1.53,0.64,0.51,37.5,20,,Ecuador,https://www.mayesh.com/rose-sweet-unique-pink-60-cm,https://www.mayesh.com/backend/files/flowers/rose-sweet-unique-pink.jpg,Sweet Mondial Roses pink - light,f50e09d4-b3ef-49af-8bdf-512311d80252,0.9695413112640381,pink rose sweet unique,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.328539,2025-05-23
Mayesh,487694,Rose Sweetness Pink/White,Rose,900,Pink/White,50,100,134.0,1.34,0.52,0.51,37.5,20,,Ecuador,https://www.mayesh.com/rose-sweetness-pink-white-50-cm,https://www.mayesh.com/backend/files/flowers/rose-sweetness-pink-white.jpg,Sweetness Roses pink - multiple,3799423d-b9c8-46fc-9e05-1abc29fed4db,0.9625545740127563,pink rose sweetness white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.380132,2025-05-23
Mayesh,487695,Rose Sweetness Pink/White,Rose,900,Pink/White,60,100,153.0,1.53,0.64,0.51,37.5,20,,Ecuador,https://www.mayesh.com/rose-sweetness-pink-white-60-cm,https://www.mayesh.com/backend/files/flowers/rose-sweetness-pink-white.jpg,Sweetness Roses pink - multiple,3799423d-b9c8-46fc-9e05-1abc29fed4db,0.9625545740127563,pink rose sweetness white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.433035,2025-05-23
Mayesh,487696,Rose Sweetness Pink/White,Rose,900,Pink/White,70,100,172.0,1.72,0.76,0.51,37.5,10,,Ecuador,https://www.mayesh.com/rose-sweetness-pink-white-70-cm,https://www.mayesh.com/backend/files/flowers/rose-sweetness-pink-white.jpg,Sweetness Roses pink - multiple,3799423d-b9c8-46fc-9e05-1abc29fed4db,0.9625545740127563,pink rose sweetness white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.489124,2025-05-23
