competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,color,stem_length,stems_per_unit,unit_price,stem_price,base_price,freight_price,margin,available_units,grower_name,grower_country,highlight_name,created_at,eta_date
Mayesh,1053054,Astrantia Pink,Astrantia,511,Pink,,100,127.0,1.27,0.61,0.3,37.5,2,,Ecuador,,2025-05-28,2025-06-06
Mayesh,514560,Astrantia White,Astrantia,511,White,,100,118.0,1.18,0.55,0.3,37.5,2,,Ecuador,,2025-05-28,2025-06-06
Mayesh,514564,Atriplex Green,Atriplex,512,Green,,150,231.0,1.54,0.75,0.34,37.5,10,,Ecuador,,2025-05-28,2025-06-06
Mayesh,666513,Bells of Ireland Green Long,Bells of Ireland,526,Green,,10,141.1,14.11,5.66,5.05,37.5,3,,Ecuador,,2025-05-28,2025-06-06
Mayesh,666512,Bells of Ireland Green Medium,Bells of Ireland,526,Green,,12,144.84,12.07,4.91,4.21,37.5,4,,Ecuador,,2025-05-28,2025-06-06
Mayesh,1006583,Bells of Ireland Green Xlong,Bells of Ireland,526,Green,,10,148.6,14.86,6.13,5.05,37.5,5,,Ecuador,,2025-05-28,2025-06-06
Mayesh,514596,Berzelia Baubles Green,Berzelia,529,Green,,130,211.9,1.63,0.78,0.38,37.5,2,Global Flowers,South Africa,,2025-05-28,2025-06-06
Mayesh,514596,Berzelia Baubles Green,Berzelia,529,Green,,130,211.9,1.63,0.78,0.38,37.5,2,Global Flowers,South Africa,,2025-05-28,2025-06-06
Mayesh,500207,Bird of Paradise Orange Select,Bird of Paradise,535,Orange,,50,115.5,2.31,0.81,1.01,37.5,17,,Colombia,,2025-05-28,2025-06-06
Mayesh,6841586,Bouquet Alstro Rose Monochromatic Large,Bouquet,545,,40,12,144.84,12.07,4.91,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841588,Bouquet Alstro Rose Monochromatic Large,Bouquet,545,,50,10,153.7,15.37,6.45,5.05,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841585,Bouquet Alstro Rose Monochromatic Medium,Bouquet,545,,40,14,143.08,10.22,4.13,3.61,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841587,Bouquet Alstro Rose Monochromatic Medium,Bouquet,545,,50,12,153.84,12.82,5.38,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841590,Bouquet Alstro Rose Polychromatic Large,Bouquet,545,,40,12,144.84,12.07,4.91,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841592,Bouquet Alstro Rose Polychromatic Large,Bouquet,545,,50,10,153.7,15.37,6.45,5.05,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841589,Bouquet Alstro Rose Polychromatic Medium,Bouquet,545,,40,14,143.08,10.22,4.13,3.61,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841591,Bouquet Alstro Rose Polychromatic Medium,Bouquet,545,,50,12,153.84,12.82,5.38,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841557,Bouquet Ambrosial,Bouquet,545,,40,12,230.52,19.21,9.82,3.5,37.5,45,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841558,Bouquet Ambrosial,Bouquet,545,,50,12,302.52,25.21,13.57,3.5,37.5,49,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841582,Bouquet Artisan Large,Bouquet,545,,40,10,171.0,17.1,7.53,5.05,37.5,39,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841584,Bouquet Artisan Large,Bouquet,545,,50,8,179.12,22.39,10.05,6.31,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841581,Bouquet Artisan Medium,Bouquet,545,,40,12,161.64,13.47,5.79,4.21,37.5,49,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841583,Bouquet Artisan Medium,Bouquet,545,,50,12,192.0,16.0,7.37,4.21,37.5,49,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841501,Bouquet Biedermeier,Bouquet,545,,25,8,218.48,27.31,13.79,5.24,37.5,49,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841601,Bouquet Botanical,Bouquet,545,,40,10,171.8,17.18,7.58,5.05,37.5,38,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841602,Bouquet Botanical,Bouquet,545,,50,8,179.68,22.46,10.09,6.31,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841506,Bouquet Brighten Up Large,Bouquet,545,,40,16,200.64,12.54,6.2,2.62,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841507,Bouquet Brighten Up Large,Bouquet,545,,50,16,221.6,13.85,7.02,2.62,37.5,49,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841504,Bouquet Brighten Up Medium,Bouquet,545,,40,18,173.34,9.63,4.56,2.33,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841505,Bouquet Brighten Up Medium,Bouquet,545,,50,18,189.9,10.55,5.14,2.33,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841502,Bouquet Brighten Up Small,Bouquet,545,,40,24,167.52,6.98,3.27,1.75,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841503,Bouquet Brighten Up Small,Bouquet,545,,50,24,185.52,7.73,3.74,1.75,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841561,Bouquet Bubbly,Bouquet,545,,40,8,208.0,26.0,12.97,5.24,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841567,Bouquet Captivating,Bouquet,545,,40,4,152.6,38.15,17.29,10.49,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841568,Bouquet Captivating,Bouquet,545,,50,4,190.04,47.51,23.14,10.49,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841508,Bouquet Comely,Bouquet,545,,40,14,199.92,14.28,7.05,3.0,37.5,49,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841509,Bouquet Comely,Bouquet,545,,50,14,257.46,18.39,9.62,3.0,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841510,Bouquet Country Chic,Bouquet,545,,20,12,228.36,19.03,9.71,3.5,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841570,Bouquet Feelings Large,Bouquet,545,,40,12,176.28,14.69,6.55,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841572,Bouquet Feelings Large,Bouquet,545,,50,8,167.12,20.89,9.11,6.31,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841569,Bouquet Feelings Medium,Bouquet,545,,40,12,151.56,12.63,5.26,4.21,37.5,49,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841571,Bouquet Feelings Medium,Bouquet,545,,50,10,161.7,16.17,6.95,5.05,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841513,Bouquet Jovial,Bouquet,545,,35,36,217.08,6.03,3.04,1.17,37.5,49,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841518,Bouquet Love & Instinct,Bouquet,545,,40,12,208.08,17.34,8.65,3.5,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841519,Bouquet Love & Instinct,Bouquet,545,,50,12,270.96,22.58,11.93,3.5,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841516,Bouquet Love Drop,Bouquet,545,,40,12,208.08,17.34,8.65,3.5,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841517,Bouquet Love Drop,Bouquet,545,,50,12,270.96,22.58,11.93,3.5,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841520,Bouquet Lovely Present,Bouquet,545,,40,14,207.76,14.84,7.4,3.0,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841521,Bouquet Lovely Present,Bouquet,545,,50,14,270.62,19.33,10.21,3.0,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841566,Bouquet Magnetizing,Bouquet,545,,40,4,148.12,37.03,16.59,10.49,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841524,Bouquet Magnificent Large,Bouquet,545,,40,12,244.08,20.34,10.53,3.5,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841525,Bouquet Magnificent Large,Bouquet,545,,45,12,322.68,26.89,14.62,3.5,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841522,Bouquet Magnificent Medium,Bouquet,545,,40,12,208.08,17.34,8.65,3.5,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841523,Bouquet Magnificent Medium,Bouquet,545,,45,12,270.96,22.58,11.93,3.5,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841574,Bouquet Messy No Roses Large,Bouquet,545,,40,12,180.72,15.06,6.78,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841576,Bouquet Messy No Roses Large,Bouquet,545,,50,8,170.08,21.26,9.34,6.31,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841573,Bouquet Messy No Roses Medium,Bouquet,545,,40,12,154.92,12.91,5.44,4.21,37.5,47,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841575,Bouquet Messy No Roses Medium,Bouquet,545,,50,12,181.8,15.15,6.84,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841578,Bouquet Messy with Roses Large,Bouquet,545,,40,10,167.3,16.73,7.3,5.05,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841580,Bouquet Messy with Roses Large,Bouquet,545,,50,10,197.2,19.72,9.17,5.05,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841577,Bouquet Messy with Roses Medium,Bouquet,545,,40,12,158.28,13.19,5.61,4.21,37.5,47,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841579,Bouquet Messy with Roses Medium,Bouquet,545,,50,12,185.28,15.44,7.02,4.21,37.5,50,Rosaspe - Much Flowers,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841526,Bouquet Mommys Love,Bouquet,545,,40,14,192.08,13.72,6.7,3.0,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
Mayesh,6841527,Bouquet Mommys Love,Bouquet,545,,50,14,247.1,17.65,9.16,3.0,37.5,50,Bellaflor,Ecuador,,2025-05-28,2025-06-06
