product_name,competitor_product_id
Delphinium Assorted HYBRID,2236334
DELPHINIUM HYBRID BLUE,2271807
DELPHINIUM WHITE,2261130
Dianthus SPX Solomio ROSE Light Pink,2267184
Dogwood Red Large,2203165
DRIED Natural FLUFFY REED ,2244010
DRIED Natural LUNARIA ,2271179
DRIED Natural SETARIA ,2271602
DRIED Natural TARWE ,2273503
DRIED White FERN TALL BLEACHED ,2233071
DUSTY MILLER SILVER,1842275
Dusty Miller Silver Lacy,2274238
Dusty Miller Silver Wide Leaf ( ST),2134978
Emerald Med Green,2178306
Emerald Premium GREEN,2228930
Eucalyptus Assorted Greens,2271817
EUCALYPTUS CINEREA,2087288
EUCALYPTUS GUNNI,111
EUCALYPTUS MIX BOUQUET GREEN ,2261182
EUCALYPTUS MIX GREEN,2261184
EUCALYPTUS PARVIFOLIA BUNCH,1888142
EUCALYPTUS SILVER DOLLAR,568123
Eucalyptus SPX Silver Dollar,2264085
EUCALYPTUS WILLOW GREEN WILLOW,2220968
EXPLORER,327480
EXPLORER,327484
FEATHER WILLOW EUC GREEN,2220969
Fever Few White,2242950
Fl Ruscus GREEN Israeli,2220110
Fl Ruscus GREEN Israeli,2220013
Fl Ruscus Green Israeli,2134982
Flat Fern GREEN,2220818
Flat Fern Green,2143947
FLAX ASSORTED ASSORTED,2264131
FLAX Variegated VARIEGATED,2264255
FLOWER ASSORTED,2193417
FOOTBALL ASSORTED,326921
FREEDOM,207
Galax Green,2134984
GARDEN R WHITE CANDLELIGHT,2097689
GARDEN R CORAL DRAGON FLY,2259997
GARDEN R PEACH KINGS CROSS,2269851
GARDEN R PEACH PHOENIX,2095686
GARDEN R PEACH PHOENIX,2191386
GARDEN R PINK SWEET 4LOVE,2266747
GARDEN R WHITE CANDLELIGHT,2094440
GARDEN R WHITE COTTON X PRESSION,2197826
GARDEN ROSE BRIDESMAID,1968671
GERBERA RED,2212911
Gerbera Red,2211491
Gerbera Yellow,1858095
Gladiolus SPX Red & White,2271338
Gladiolus SPX White,2211741
Gladiolus Whit,2258765
Gladiolus White,2170965
GOTCHA,1906961
Green Huck GREEN,2220820
GREEN ROBELLINI PALM,2236731
GREEN ROBELLINI PALM,2229760
Greens Brillantina,2270462
Greens Eucalyptus Gunni,2194371
Greens Eucalyptus Seeded CUPPED Handful,1860454
Greens Israeli RUSCUS,1858917
Greens Leather Leaf,1858099
Greens Monstera Leaves Medium,1858105
Greens Palm Roebelenii Pheonix,1859266
Greens Ti Leaves Assorted,1858111
Greens Ti Leaves Burgundy,2145318
Gunni Euc Green,2138227
Gunni Euc Green,2227770
Gyp Bridal Queen,2271339
Gyp Cosmic,2271446
Gyp Cosmic,2271450
Gyp Million Star,2131646
Gyp Tinted Rainbow,2161731
GYPSO TINTED RAINBOW,2212863
GYPSOPHILA MILLION STAR,326394
GYPSOPHILA XLENCE,9430
GYPSOPHILIA WHITE XLENCE,2098107
Helecho Green,2134990
Helleborus White,2161501
HOLLY FERN GREEN,2223480
HONEY BRACELET GREEN,2221171
Hydrangea Baby Dark Green,1863915
Hydrangea Baby Green x,2131675
HYDRANGEA GREEN ANTIQUE PREMIUM,2126167
Hypericum Assorted,1897533
Hypericum Assorted Coco,1858134
Hypericum Assorted Romance,2131730
Hypericum Assorted Romance,2131731
Hypericum Bamboo Green Coco,2259654
Hypericum Green,2259656
Hypericum Magical Burgundy Romance,2211554
Hypericum MIX,2273791
Hypericum MIX COCO,2220976
Hypericum MIX COCO MIX,2220977
Hypericum Pink Lovely Romance,2270691
Hypericum Pink Sweet Romance,2211904
Hypericum Red Coco Rio,2211748
Hypericum Red Coco Rio,2211750
Hypericum RED ROMANCE Romance,2220978
Hypericum Red True Romance,2144600
HYPERICUM RED TRUE ROMANCE,2109767
Hypericum Red True Romance,2140957
Hypericum Rio Red COCO,2220979
Hypericum Rio Red Coco,2220980
Hypericum Uno White,2274282
Hypericum Uno White COCO,2220981
Hypericum White Cool Romance,1860281
HYPERICUM WHITE COOL ROMANCE,2119049
Hypericum White Cool Romance,1860284
Hypericum White Super,2140566
Iris Purple,2211873
Iris SPX Yellow,2170469
ITALIAN RUSCUS,121
ITALIAN RUSCUS,2193911
IVY GREEN PREMIUM,326436
Ivy Variegated,2258303
Jade Green REGULAR,2178692
Kale assorted,2223898
Kale Purple,2135008
Kale White,2145235
LA Lily White,2192305
Lagurus White DRIED BUNNY TAIL ,2230922
Larkspur Assorted,2131779
Larkspur Purple,1908530
LARKSPUR ASSORTED,329086
Larkspur Pink,2191497
Larkspur Purple,2191498
Larkspur WHITE WHITE,2223597
Lavender Blue Dried,2203168
Leatherleaf Green  IMPORTED,2259753
Leatherleaf GREEN SELECT,2220341
Leatherleaf GREEN SELECT,2220342
Leatherleaf Green SELECT  FLA,2267015
Leatherleaf Green Select,2138237
