product_name,competitor_product_group_name,competitor_product_id
Garland Gypsophila Tinted Coral 10',Garland,4726078
Garland Gypsophila Tinted Coral 5',Garland,4618515
Garland Gypsophila Tinted Fashion Rainbow 10',Garland,4726133
Garland Gypsophila Tinted Fashion Rainbow 5',Garland,4618544
Garland Gypsophila Tinted Green 10',Garland,4726065
Garland Gypsophila Tinted Green 5',Garland,4618493
Garland Gypsophila Tinted Hot Pink 10',Garland,4726074
Garland Gypsophila Tinted Hot Pink 5',Garland,4618512
Garland Gypsophila Tinted Illusion Rainbow 10',Garland,4726132
Garland Gypsophila Tinted Illusion Rainbow 5',Garland,4618543
Garland Gypsophila Tinted Lavender 10',Garland,4726070
Garland Gypsophila Tinted Lavender 5',Garland,4618510
Garland Gypsophila Tinted Light Blue 10',Garland,4726068
Garland Gypsophila Tinted Light Blue 5',Garland,4618508
Garland Gypsophila Tinted Light Green 10',Garland,4726066
Garland Gypsophila Tinted Light Green 5',Garland,4618502
Garland Gypsophila Tinted Light Pink 10',Garland,4726075
Garland Gypsophila Tinted Light Pink 5',Garland,4618513
Garland Gypsophila Tinted Light Yellow 10',Garland,4726093
Garland Gypsophila Tinted Light Yellow 5',Garland,4618530
Garland Gypsophila Tinted Malima Rainbow 10',Garland,4726095
Garland Gypsophila Tinted Malima Rainbow 5',Garland,4618533
Garland Gypsophila Tinted New Pink Erika Pink 10',Garland,4726080
Garland Gypsophila Tinted New Pink Erika Pink 5',Garland,4618524
Garland Gypsophila Tinted Orange 10',Garland,4726082
Garland Gypsophila Tinted Orange 5',Garland,4618527
Garland Gypsophila Tinted Purple 10',Garland,4726073
Garland Gypsophila Tinted Purple 5',Garland,4618511
Garland Gypsophila Tinted Red 10',Garland,4726077
Garland Gypsophila Tinted Red 5',Garland,4618514
Garland Gypsophila Tinted Sunrise Rainbow 10',Garland,4726128
Garland Gypsophila Tinted Sunrise Rainbow 5',Garland,4618539
Garland Gypsophila Tinted Sunset Rainbow 10',Garland,4726131
Garland Gypsophila Tinted Sunset Rainbow 5',Garland,4618541
Garland Gypsophila Tinted Sweet Candy Pink Mix 10',Garland,4726126
