competitor_product_id,product_name
2161339,Larkspur Assorted
2161341,Larkspur Blue
2161343,Larkspur Hot Pink
2161345,Larkspur Purple
2161347,Larkspur White
2229237,Lathyrus Assorted
2211767,Lathyrus Hot Pink
2211769,Lathyrus Lavender
2211766,Lathyrus Light Pink
2211768,Lathyrus Purple
2211770,Lathyrus Salmon
2211765,Lathyrus White
2161349,Liatris Purple
2160848,Lily La Assorted
2160850,Lily La Light Pink
2160852,Lily La Orange
2160854,Lily La Salmon
2160856,Lily La White
2160858,Lily La Yellow
2160860,Lily Oriental Assorted
2161253,Lily Oriental Firebolt
2160862,Lily Oriental Stargazer
2160864,Lily Oriental Yellow Concador
2160866,Lily Oriental Zambesi
2161351,Limonium Assorted
2161353,Limonium Blue
2161355,Limonium Pink
2161255,Limonium Purple
2161357,Limonium White
2161359,Lisianthus Assorted
2161361,Lisianthus Light Pink
2180399,Lisianthus White
2148558,Lysimachia White
2258208,Mday Rose Assorted
2177224,Mokara Anny Cool Violet
2177225,Mokara Aomyai Orange
2177226,Mokara Bangkuntien
2177227,Mokara Beauty
2177228,Mokara Boon Rong
2177229,Mokara Calypso
2177230,Mokara Calypso Jumbo
2177231,Mokara Chaopraya Gold
2177232,Mokara Chaopraya Sunset
2177233,Mokara Charood
2177234,Mokara Christine
2177235,Mokara Chub Kuan
2177236,Mokara Doung Porn
2177237,Mokara Full Moon
2177238,Mokara Jairak Blue
2177239,Mokara Kitty
2177240,Mokara Moo Daeng
2177241,Mokara Nora Blue
2177242,Mokara Pannee
2177243,Mokara Phalor Yellow/Orange
2177244,Mokara Robin
2177245,Mokara Sanya Orange/Yellow
2177247,Mokara Saraya Gold
2177246,Mokara Saraya Red
2177248,Mokara Tammy Yellow
2177249,Mokara White
2177250,Mokara Yellow Banana
2177252,Oncidium
2177251,Oncidium Gold Stars
2160868,Orchids Aranda Christine Orange
2160870,Orchids Aranda Mocara Assorted
2160872,Orchids Aranda Mocara Red
2160874,Orchids Aranda Mocara Sexy
2160876,Orchids Aranda Mocara Yellow
2160878,Orchids Aranda Nora Orange
2160880,Orchids Aranda Nora Purple
2160882,Orchids Aranda Nora White
2160884,Orchids Aranda Panee Assorted
2160886,Orchids Aranda Panee Orange
2160888,Orchids Aranthera James Storie
2160890,Orchids Cymbidium Assorted
2160892,Orchids Cymbidium Brown
2160894,Orchids Cymbidium Green
2160896,Orchids Cymbidium Orange
2160898,Orchids Cymbidium Pink
2160900,Orchids Cymbidium Red
2160902,Orchids Cymbidium White
2160904,Orchids Cymbidium Yellow
2160906,Orchids Dendrobium Assorted
2160908,Orchids Dendrobium Bom Purple
2160910,Orchids Dendrobium Candy Stripe
2160912,Orchids Dendrobium Jade Green
2160914,Orchids Dendrobium Juree Peach
2160916,Orchids Dendrobium Lady Mali
2160918,Orchids Dendrobium Leis
2160920,Orchids Dendrobium Miss Singapore
2160922,Orchids Dendrobium Miss Thailand
2160924,Orchids Dendrobium Queen
2160926,Orchids Dendrobium Red Bull
2160928,Orchids Dendrobium Sakura
2160930,Orchids Dendrobium Sonia Dyed Blue
2160932,Orchids Dendrobium Sugar Pink
2160934,Orchids Dendrobium Viola Purple
2160936,Orchids Dendrobium White
2160938,Orchids Dendrobium White Xxl
2160940,Orchids Dendrobium Winky
2161363,Orchids Oncidium Large
2161371,Orchids Phalaenopsis Fuchsia
2161373,Orchids Phalaenopsis Orange
2161375,Orchids Phalaenopsis Purple
2161377,Orchids Phalaenopsis Red
2161379,Orchids Phalaenopsis White
2162231,Oreopanax Large
2162232,Oreopanax Small
2161365,Pampas Grass Jubata Natural
2161367,Pampas Grass Jubata Tinted Mix
2161369,Pampas Grass Selloana Painted Purple
2162248,Parvifolia Metal Copper 150 Green
2162246,Parvifolia Metal Gold 150 Green
2162249,Parvifolia Metal Red 150 Green
2271679,Parvifolia Metal Silver 150 Green
2162199,Pittosporum Nigra Variegated 200 Green
