competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,stem_price,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,60,72,142.56,1.98,Pink All4love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9539565443992615,4 all garden love rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,60,144,276.48,1.92,Pink All4love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9539565443992615,4 all garden love rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,4548189847651,All 4 Love Garden Rose,Garden Roses,Lavender,60,288,538.56,1.87,Pink All4love Garden Roses,0befdcca-e626-435c-ae07-6777407c1fe8,0.9539565443992615,4 all garden love rose,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9961466789245605,2025-05-26,2025-06-04
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,40,48,79.2,1.65,,,,aloha rose,,,,2025-05-26,2025-06-04
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,40,72,112.32,1.56,,,,aloha rose,,,,2025-05-26,2025-06-04
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,40,144,218.88,1.52,,,,aloha rose,,,,2025-05-26,2025-06-04
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,40,288,426.24,1.48,,,,aloha rose,,,,2025-05-26,2025-06-04
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,50,48,84.0,1.75,,,,aloha rose,,,,2025-05-26,2025-06-04
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,50,72,118.8,1.65,,,,aloha rose,,,,2025-05-26,2025-06-04
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,50,144,231.84,1.61,,,,aloha rose,,,,2025-05-26,2025-06-04
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,50,288,449.28,1.56,,,,aloha rose,,,,2025-05-26,2025-06-04
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,60,72,131.04,1.82,,,,aloha rose,,,,2025-05-26,2025-06-04
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,60,144,253.44,1.76,,,,aloha rose,,,,2025-05-26,2025-06-04
PetalJet,8379464843573,Aloha Rose,Premium Roses,Fall,60,288,495.36,1.72,,,,aloha rose,,,,2025-05-26,2025-06-04
PetalJet,8845278970165,Alstroemeria Assorted Box #222 -,Alstroemeria,alstromeria,60,100,98.0,0.98,Mixed Assorted Alstroemeria,c93bbc06-a172-494d-b352-4ad50f082de1,0.9968472123146057,222 alstroemeria assorted box,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-04
PetalJet,8845278970165,Alstroemeria Assorted Box #222 -,Alstroemeria,alstromeria,60,180,153.0,0.85,Mixed Assorted Alstroemeria,c93bbc06-a172-494d-b352-4ad50f082de1,0.9968472123146057,222 alstroemeria assorted box,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-04
PetalJet,8845278970165,Alstroemeria Assorted Box #222 -,Alstroemeria,alstromeria,70,200,170.0,0.85,Mixed Assorted Alstroemeria,c93bbc06-a172-494d-b352-4ad50f082de1,0.9968472123146057,222 alstroemeria assorted box,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-04
PetalJet,8282599850293,Aly Rose,Premium Roses,blush,50,60,105.6,1.76,Pink Aly Roses,ca7babde-297b-479d-9c1a-27dbc9ed90c9,0.9414201378822327,aly rose,,,,2025-05-26,2025-06-04
