competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,stem_price,cleaned_name_used,created_at,eta_date
PetalJet,8381223108917,Atomic Rose,Premium Roses,Bicolor,60,336,524.16,1.56,Atomic Rose,2025-05-28,2025-06-06
PetalJet,4419596320867,Aubade Rose,Premium Roses,Bicolor,40,48,71.04,1.48,Aubade Rose,2025-05-28,2025-06-06
PetalJet,4419596320867,Aubade Rose,Premium Roses,Bicolor,40,72,100.08,1.39,Aubade Rose,2025-05-28,2025-06-06
PetalJet,4419596320867,Aubade Rose,Premium Roses,Bicolor,40,144,195.84,1.36,Aubade Rose,2025-05-28,2025-06-06
PetalJet,4419596320867,Aubade Rose,Premium Roses,Bicolor,40,288,380.16,1.32,Aubade Rose,2025-05-28,2025-06-06
PetalJet,4419596320867,Aubade Rose,Premium Roses,Bicolor,50,48,79.2,1.65,Aubade Rose,2025-05-28,2025-06-06
PetalJet,4419596320867,Aubade Rose,Premium Roses,Bicolor,50,72,113.04,1.57,Aubade Rose,2025-05-28,2025-06-06
PetalJet,4419596320867,Aubade Rose,Premium Roses,Bicolor,50,144,218.88,1.52,Aubade Rose,2025-05-28,2025-06-06
PetalJet,4419596320867,Aubade Rose,Premium Roses,Bicolor,50,288,429.12,1.49,Aubade Rose,2025-05-28,2025-06-06
PetalJet,8280653070645,Avalanche Rose,Premium Roses,Wedding,50,48,89.76,1.87,Avalanche Rose,2025-05-28,2025-06-06
PetalJet,8280653070645,Avalanche Rose,Premium Roses,Wedding,50,72,128.16,1.78,Avalanche Rose,2025-05-28,2025-06-06
PetalJet,8280653070645,Avalanche Rose,Premium Roses,Wedding,50,144,249.12,1.73,Avalanche Rose,2025-05-28,2025-06-06
PetalJet,8280653070645,Avalanche Rose,Premium Roses,Wedding,50,288,480.96,1.67,Avalanche Rose,2025-05-28,2025-06-06
PetalJet,8280653070645,Avalanche Rose,Premium Roses,Wedding,60,72,144.0,2.0,Avalanche Rose,2025-05-28,2025-06-06
PetalJet,8280653070645,Avalanche Rose,Premium Roses,Wedding,60,144,279.36,1.94,Avalanche Rose,2025-05-28,2025-06-06
PetalJet,8280653070645,Avalanche Rose,Premium Roses,Wedding,60,288,544.32,1.89,Avalanche Rose,2025-05-28,2025-06-06
