competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
PetalJet,48430948090165,Aloha Rose,Premium Roses,Fall,40,48,79.2,1.65,Aloha Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9669004678726196,,,,2025-05-07,2025-05-15
PetalJet,48430948122933,Aloha Rose,Premium Roses,Fall,40,72,112.32,1.56,Aloha Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9669004678726196,,,,2025-05-07,2025-05-15
PetalJet,48430948155701,Aloha Rose,Premium Roses,Fall,40,144,218.88,1.52,Aloha Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9669004678726196,,,,2025-05-07,2025-05-15
PetalJet,48430948188469,Aloha Rose,Premium Roses,Fall,40,288,426.24,1.48,Aloha Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9669004678726196,,,,2025-05-07,2025-05-15
PetalJet,48430948221237,Aloha Rose,Premium Roses,Fall,50,48,84.0,1.75,Aloha Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9669004678726196,,,,2025-05-07,2025-05-15
PetalJet,48430948254005,Aloha Rose,Premium Roses,Fall,50,72,118.8,1.65,Aloha Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9669004678726196,,,,2025-05-07,2025-05-15
PetalJet,48430948286773,Aloha Rose,Premium Roses,Fall,50,144,231.84,1.61,Aloha Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9669004678726196,,,,2025-05-07,2025-05-15
PetalJet,48430948319541,Aloha Rose,Premium Roses,Fall,50,288,449.28,1.56,Aloha Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9669004678726196,,,,2025-05-07,2025-05-15
PetalJet,48430948352309,Aloha Rose,Premium Roses,Fall,60,72,131.04,1.82,Aloha Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9669004678726196,,,,2025-05-07,2025-05-15
PetalJet,48430948385077,Aloha Rose,Premium Roses,Fall,60,144,253.44,1.76,Aloha Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9669004678726196,,,,2025-05-07,2025-05-15
PetalJet,48430948417845,Aloha Rose,Premium Roses,Fall,60,288,495.36,1.72,Aloha Roses,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9669004678726196,,,,2025-05-07,2025-05-15
PetalJet,49708273664309,Alstroemeria Assorted Box #222 -,Alstroemeria,alstromeria,60,100,98.0,0.98,Pink Select Alstroemeria,7b711ccf-9241-44ce-8158-7e390c4c3910,0.998847484588623,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,49708275630389,Alstroemeria Assorted Box #222 -,Alstroemeria,alstromeria,60,180,153.0,0.85,Pink Select Alstroemeria,7b711ccf-9241-44ce-8158-7e390c4c3910,0.998847484588623,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,49708276318517,Alstroemeria Assorted Box #222 -,Alstroemeria,alstromeria,70,200,170.0,0.85,Pink Select Alstroemeria,7b711ccf-9241-44ce-8158-7e390c4c3910,0.998847484588623,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,49603489235253,Aly Rose,Premium Roses,blush,50,60,105.6,1.76,Aly Roses,13dfb1bd-5e5e-479d-855e-590948213b0d,0.9786930084228516,,,,2025-05-07,2025-05-15
PetalJet,49603492053301,Aly Rose,Premium Roses,blush,50,84,142.8,1.7,Aly Roses,13dfb1bd-5e5e-479d-855e-590948213b0d,0.9786930084228516,,,,2025-05-07,2025-05-15
PetalJet,49603497886005,Aly Rose,Premium Roses,blush,50,168,278.88,1.66,Aly Roses,13dfb1bd-5e5e-479d-855e-590948213b0d,0.9786930084228516,,,,2025-05-07,2025-05-15
PetalJet,49603505553717,Aly Rose,Premium Roses,blush,60,84,165.48,1.97,Aly Roses,13dfb1bd-5e5e-479d-855e-590948213b0d,0.9786930084228516,,,,2025-05-07,2025-05-15
PetalJet,49603507159349,Aly Rose,Premium Roses,blush,60,168,319.2,1.9,Aly Roses,13dfb1bd-5e5e-479d-855e-590948213b0d,0.9786930084228516,,,,2025-05-07,2025-05-15
PetalJet,50395605598517,Amaranthus Green Hanging -,Amaranthus,best seller,60,40,98.4,2.46,Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.997352123260498,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,50395605991733,Amaranthus Green Hanging -,Amaranthus,best seller,60,80,164.8,2.06,Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.997352123260498,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,50395606122805,Amaranthus Green Hanging -,Amaranthus,best seller,70,80,180.0,2.25,Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.997352123260498,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,50395610349877,Amaranthus Hanging Mixed Box #901 -,Amaranthus,Christmas Holiday,60,40,98.4,2.46,Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.9763520956039429,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,50395611103541,Amaranthus Hanging Mixed Box #901 -,Amaranthus,Christmas Holiday,60,80,164.8,2.06,Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.9763520956039429,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,50395611267381,Amaranthus Hanging Mixed Box #901 -,Amaranthus,Christmas Holiday,70,80,180.0,2.25,Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.9763520956039429,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,50395609006389,Amaranthus Red Hanging -,Amaranthus,Burgundy,60,40,98.4,2.46,Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.997352123260498,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,50395609760053,Amaranthus Red Hanging -,Amaranthus,Burgundy,60,80,164.8,2.06,Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.997352123260498,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,50395610022197,Amaranthus Red Hanging -,Amaranthus,Burgundy,70,80,180.0,2.25,Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.997352123260498,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,48430947795253,Amatista Alstroemeria -,Alstroemeria,alstromeria,60,100,95.0,0.95,Amatista Alstroemeria,bea14151-edfc-4fc5-86f5-520851dfa0b7,0.9987452626228333,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,48430947828021,Amatista Alstroemeria -,Alstroemeria,alstromeria,60,180,151.2,0.84,Amatista Alstroemeria,bea14151-edfc-4fc5-86f5-520851dfa0b7,0.9987452626228333,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-15
