color,competitor,competitor_product_group_name,competitor_product_id,competitor_product_name,created_at,eta_date,matched_product_group_name,matched_variety_name,price_per_stem,product_group_key,product_group_score,stem_length,stems_per_unit,unit_price,variety_key,variety_score
pricetest,PetalJet,Premium Roses,49745625645365,Akito Rose,2025-05-03,2025-05-13,Premium Roses,Roses Akito,1.62,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,84,136.08,6958ab90-871d-4d3e-be35-11a496e2118d,0.9531886577606201
pricetest,PetalJet,Premium Roses,49745626792245,Akito Rose,2025-05-03,2025-05-13,Premium Roses,Roses Akito,1.58,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,168,265.44,6958ab90-871d-4d3e-be35-11a496e2118d,0.9531886577606201
pricetest,PetalJet,Premium Roses,50421908144437,Akito Rose,2025-05-03,2025-05-13,Premium Roses,Roses Akito,1.52,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,336,510.72,6958ab90-871d-4d3e-be35-11a496e2118d,0.9531886577606201
Gerbera,PetalJet,Jumbo Gerber Daisies,49758470275381,Alarda Jumbo Gerber Daisy 40- -,2025-05-03,2025-05-13,,,1.37,,,4045,60,82.2,,
Gerbera,PetalJet,Jumbo Gerber Daisies,49758473519413,Alarda Jumbo Gerber Daisy 50- -,2025-05-03,2025-05-13,,,1.84,,,5055,40,73.6,,
Lavender,PetalJet,Garden Roses,48430946517301,All 4 Love Garden Rose,2025-05-03,2025-05-13,Garden Roses,Garden Roses All4Love,2.01,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,50,48,96.48,c069c20b-5828-47e5-92f2-d655cf4db904,0.9780910015106201
Lavender,PetalJet,Garden Roses,48430946550069,All 4 Love Garden Rose,2025-05-03,2025-05-13,Garden Roses,Garden Roses All4Love,1.91,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,50,72,137.52,c069c20b-5828-47e5-92f2-d655cf4db904,0.9780910015106201
Lavender,PetalJet,Garden Roses,48430946582837,All 4 Love Garden Rose,2025-05-03,2025-05-13,Garden Roses,Garden Roses All4Love,1.86,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,50,144,267.84,c069c20b-5828-47e5-92f2-d655cf4db904,0.9780910015106201
Lavender,PetalJet,Garden Roses,48430946615605,All 4 Love Garden Rose,2025-05-03,2025-05-13,Garden Roses,Garden Roses All4Love,1.82,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,50,288,524.16,c069c20b-5828-47e5-92f2-d655cf4db904,0.9780910015106201
Lavender,PetalJet,Garden Roses,48430946648373,All 4 Love Garden Rose,2025-05-03,2025-05-13,Garden Roses,Garden Roses All4Love,1.98,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,60,72,142.56,c069c20b-5828-47e5-92f2-d655cf4db904,0.9780910015106201
Lavender,PetalJet,Garden Roses,48430946681141,All 4 Love Garden Rose,2025-05-03,2025-05-13,Garden Roses,Garden Roses All4Love,1.92,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,60,144,276.48,c069c20b-5828-47e5-92f2-d655cf4db904,0.9780910015106201
Lavender,PetalJet,Garden Roses,48430946713909,All 4 Love Garden Rose,2025-05-03,2025-05-13,Garden Roses,Garden Roses All4Love,1.87,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,60,288,538.56,c069c20b-5828-47e5-92f2-d655cf4db904,0.9780910015106201
Fall,PetalJet,Premium Roses,48430948090165,Aloha Rose,2025-05-03,2025-05-13,Premium Roses,Roses Aloha,1.65,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,40,48,79.2,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9609991312026978
Fall,PetalJet,Premium Roses,48430948122933,Aloha Rose,2025-05-03,2025-05-13,Premium Roses,Roses Aloha,1.56,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,40,72,112.32,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9609991312026978
Fall,PetalJet,Premium Roses,48430948155701,Aloha Rose,2025-05-03,2025-05-13,Premium Roses,Roses Aloha,1.52,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,40,144,218.88,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9609991312026978
Fall,PetalJet,Premium Roses,48430948188469,Aloha Rose,2025-05-03,2025-05-13,Premium Roses,Roses Aloha,1.48,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,40,288,426.24,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9609991312026978
